player_id,player,year,round,pick,position,school,last_name,first_name
25895,Salim Stoudamire,2005,2,31,G,Arizona,Stoudamire,Salim
25896,Amar'e Stoudemire,2002,1,9,PF/C,Cypress Creek HS,Stoudemire,Amar'e
25897,D.J. Strawberry,2007,2,59,PG,Maryland,Strawberry,D.J.
25900,Rod Strickland,1988,1,19,PG,DePaul,Strickland,Rod
25902,Derek Strong,1990,2,47,F,Xavier,Strong,Derek
25903,Lamont Strothers,1991,2,43,G,Christopher Newport,Strothers,Lamont
25904,John Stroud,1980,2,27,F,Mississippi,Stroud,John
25905,Rodney Stuckey,2007,1,15,SG,Eastern Washington,Stuckey,Rodney
25906,Jared Sullinger,2012,1,21,PF,Ohio St.,Sullinger,Jared
25907,DaJuan Summers,2009,2,35,PF,Georgetown,Summers,DaJuan
25910,Jon Sundvold,1983,1,16,PG,Missouri,Sundvold,Jon
25911,Bob Sura,1995,1,17,SG,Florida State,Sura,Bob
25913,Greg Sutton,1991,2,49,G,Oral Roberts,Sutton,Greg
25914,Caleb Swanigan,2017,1,26,PF,Purdue,Swanigan,Caleb
25916,Robert Swift,2004,1,12,C,Bakersfield HS,Swift,Robert
25917,Stromile Swift,2000,1,2,PF/C,LSU,Swift,Stromile
25919,Pape Sy,2010,2,53,SF,STB Le Havre,Sy,Pape
25922,Wally Szczerbiak,1999,1,6,SG/SF,Miami (OH),Szczerbiak,Wally
25925,Chris Taft,2005,2,42,F,Pittsburgh,Taft,Chris
25927,Roy Tarpley,1986,1,7,C,Michigan,Tarpley,Roy
25928,Jayson Tatum,2017,1,3,SF,Duke,Tatum,Jayson
25930,Anthony Taylor,1988,2,44,G,Oregon,Taylor,Anthony
25934,Jeff Taylor,1982,2,42,SG,Texas Tech,Taylor,Jeff
25935,Jeffery Taylor,2012,2,31,SF,Vanderbilt,Taylor,Jeffery
25936,Jermaine Taylor,2009,2,32,SG,Central Florida,Taylor,Jermaine
25937,Johnny Taylor,1997,1,17,PF,Chattanooga,Taylor,Johnny
25939,Maurice Taylor,1997,1,14,PF,Michigan,Taylor,Maurice
25940,Mike Taylor,2008,2,55,PG,Idaho Stampede,Taylor,Mike
25941,Tyshawn Taylor,2012,2,41,PG,Kansas,Taylor,Tyshawn
25942,Vince Taylor,1982,2,34,SF,Duke,Taylor,Vince
25943,Terry Teagle,1982,1,16,SG,Baylor,Teagle,Terry
25944,Jeff Teague,2009,1,19,PG,Wake Forest,Teague,Jeff
25945,Marquis Teague,2012,1,29,PG,Kentucky,Teague,Marquis
25947,Sebastian Telfair,2004,1,13,PG,Lincoln HS,Telfair,Sebastian
25951,Jason Terry,1999,1,10,SG/PG,Arizona,Terry,Jason
25952,Hasheem Thabeet,2009,1,2,C,Connecticut,Thabeet,Hasheem
25955,David Thirdkill,1982,1,15,SF,Bradley,Thirdkill,David
25960,Etan Thomas,2000,1,12,PF/C,Syracuse,Thomas,Etan
25962,Isaiah Thomas,2011,2,60,PG,Washington,Thomas,Isaiah
25963,Isiah Thomas,1981,1,2,G,Indiana,Thomas,Isiah
25966,Jim Thomas,1983,2,40,SG,Indiana,Thomas,Jim
25967,John Thomas,1997,1,25,C,Minnesota,Thomas,John
25968,Kenny Thomas,1999,1,22,PF,New Mexico,Thomas,Kenny
25969,Kurt Thomas,1995,1,10,PF/C,TCU,Thomas,Kurt
25972,Tim Thomas,1997,1,7,SF,Villanova,Thomas,Tim
25973,Tyrus Thomas,2006,1,4,PF,LSU,Thomas,Tyrus
25974,Trey Thompkins,2011,2,37,PF,Georgia,Thompkins,Trey
25975,Bernard Thompson,1984,1,19,G/F,Fresno State,Thompson,Bernard
25976,Billy Thompson,1986,1,19,SF,Louisville,Thompson,Billy
25977,Brooks Thompson,1994,1,27,PG,Oklahoma State,Thompson,Brooks
25979,Dijon Thompson,2005,2,54,G/F,UCLA,Thompson,Dijon
25981,Jason Thompson,2008,1,12,PF,Rider,Thompson,Jason
25982,Kevin Thompson,1993,2,48,C,NC State,Thompson,Kevin
25983,Klay Thompson,2011,1,11,SG,Washington State,Thompson,Klay
25984,LaSalle Thompson,1982,1,5,C/PF,Texas,Thompson,LaSalle
25988,Tristan Thompson,2011,1,4,C/PF,Texas,Thompson,Tristan
25989,Al Thornton,2007,1,14,SF,Florida State,Thornton,Al
25991,Marcus Thornton,2009,2,43,SG,LSU,Thornton,Marcus
25991,Marcus Thornton,2015,2,45,PG,William & Mary,Thornton,Marcus
25992,Sindarius Thornwell,2017,2,48,SG,South Carolina,Thornwell,Sindarius
25993,Otis Thorpe,1984,1,9,F/C,Providence,Thorpe,Otis
25995,Darren Tillis,1982,1,23,C,Cleveland State,Tillis,Darren
25996,Jamaal Tinsley,2001,1,27,PG,Iowa State,Tinsley,Jamaal
25997,Wayman Tisdale,1985,1,2,PF,Oklahoma,Tisdale,Wayman
25999,Ray Tolbert,1981,1,18,F,Indiana,Tolbert,Ray
26000,Tom Tolbert,1988,2,34,F/C,Arizona,Tolbert,Tom
26002,Andrew Toney,1980,1,8,G,Southwestern Louisiana,Toney,Andrew
26009,Linton Townes,1982,2,33,SF,James Madison,Townes,Linton
