player_id,year_start,year_end,height,weight
23802,1996,2000,6-6,235.0
23803,1993,1995,6-0,175.0
23804,1990,1992,6-7,210.0
23805,1992,2001,6-8,220.0
23806,2012,2012,6-11,240.0
23807,2017,2017,6-9,235.0
23808,1989,1989,6-8,205.0
23809,1987,1989,6-8,215.0
23810,2017,2018,6-10,210.0
23811,1996,2005,5-11,182.0
23812,2013,2018,6-1,185.0
23813,2015,2015,7-5,360.0
23814,1999,2012,6-1,190.0
23815,2005,2014,6-11,240.0
23816,1998,2014,6-3,202.0
23817,1987,1987,6-8,235.0
23818,2018,2018,6-9,220.0
23819,2018,2018,6-6,197.0
23820,1980,1992,6-9,220.0
23821,2012,2018,6-9,255.0
23822,2016,2018,6-10,240.0
23823,1986,1990,7-1,252.0
23824,1981,1981,6-5,185.0
23825,2015,2018,6-9,250.0
23826,1982,1994,6-6,190.0
23827,1993,1993,6-6,250.0
23828,1985,1985,6-6,210.0
23829,1995,1995,6-0,190.0
23830,1988,1988,6-4,170.0
23831,2010,2016,6-7,270.0
23832,2004,2016,6-3,172.0
23833,2018,2018,6-4,197.0
23834,2007,2007,6-0,205.0
23835,1991,1993,6-4,190.0
23836,1993,1993,6-7,215.0
23837,2006,2014,6-11,235.0
23838,1990,2002,6-0,180.0
23839,2011,2018,6-1,205.0
23840,1994,2004,6-9,240.0
23841,2001,2009,7-0,230.0
23842,2014,2018,6-4,200.0
23843,1982,1982,6-4,185.0
23844,2005,2005,6-4,190.0
23845,2004,2014,6-5,215.0
23846,2018,2018,6-6,205.0
23847,2015,2018,6-8,216.0
23848,1988,2001,5-3,136.0
23849,2006,2018,7-0,260.0
23850,1998,2001,6-9,220.0
23851,1986,1995,7-7,200.0
23852,2017,2018,6-9,235.0
23853,1993,1995,6-5,200.0
23854,1997,1997,6-4,185.0
23855,1991,1996,6-8,215.0
23856,2005,2016,6-10,235.0
23857,2016,2018,6-6,206.0
23858,1996,1997,6-1,185.0
23859,2011,2018,6-8,228.0
23860,2007,2010,6-10,237.0
23861,2000,2009,6-11,230.0
23862,1998,1999,6-6,226.0
23863,2003,2015,6-9,258.0
23864,2004,2005,7-0,240.0
23865,2000,2000,6-8,220.0
23866,2004,2016,6-11,235.0
23867,1980,1980,6-8,225.0
23868,2002,2004,7-0,257.0
23869,2000,2002,6-10,245.0
23870,1997,2009,6-7,185.0
23871,2000,2010,6-7,215.0
23872,1989,1998,6-6,190.0
23873,1985,1995,7-1,235.0
23874,2000,2002,6-5,195.0
23875,1996,1997,6-5,196.0
23876,1999,2012,5-5,135.0
23877,2007,2007,6-6,207.0
23878,2011,2012,6-10,230.0
23879,1982,1982,6-6,215.0
23880,2011,2018,6-2,180.0
23881,1982,1984,6-5,215.0
23882,1980,1989,6-6,195.0
23883,2002,2006,6-10,245.0
23884,1994,2005,7-6,235.0
23885,2018,2018,6-11,240.0
23886,1997,1997,6-10,265.0
23887,1996,1996,6-8,230.0
23888,2004,2005,6-8,245.0
23889,2000,2000,6-10,227.0
23890,1987,1990,6-7,185.0
23891,2000,2016,6-8,275.0
23892,1992,2002,5-11,180.0
23893,1982,1983,6-10,220.0
23894,1995,1998,6-7,215.0
23895,2003,2004,6-2,185.0
23896,1984,1994,7-3,230.0
23897,2008,2018,6-9,186.0
23898,2002,2005,6-4,184.0
23899,2007,2014,6-7,220.0
23900,2002,2010,7-2,252.0
23901,1985,1997,6-9,240.0
23902,1986,1987,7-0,235.0
23903,1981,1981,6-4,180.0
23904,2010,2012,6-7,255.0
23905,1982,1983,6-4,185.0
23906,2017,2018,6-5,215.0
23907,2008,2018,6-0,161.0
23908,2018,2018,6-6,220.0
23909,1992,1994,6-6,200.0
23910,2012,2014,6-5,200.0
23911,1981,1988,6-7,220.0
23912,1989,1998,5-11,165.0
23913,2007,2009,6-9,245.0
23914,2016,2017,6-7,210.0
23915,2009,2018,6-2,175.0
23916,1990,2002,6-7,214.0
23917,2002,2005,6-9,200.0
23919,1991,2002,6-1,160.0
23919,2007,2009,6-0,185.0
23920,2010,2012,6-7,225.0
23921,2003,2010,6-5,220.0
23922,2002,2002,7-0,244.0
23923,1999,1999,6-4,210.0
23924,2015,2015,6-4,215.0
23925,2017,2018,6-7,225.0
23926,2002,2005,6-7,222.0
23927,2002,2013,6-11,270.0
23928,1981,1981,6-11,225.0
23929,2014,2018,6-5,189.0
23930,1997,2000,6-3,185.0
23931,2015,2016,6-3,190.0
23932,1987,1997,6-9,257.0
23933,1992,1992,6-3,180.0
23934,1994,2008,6-11,225.0
23935,1992,2003,6-2,190.0
23936,1990,1990,6-8,220.0
23937,1981,1985,6-10,215.0
23938,2007,2015,6-4,205.0
23939,2018,2018,6-5,225.0
23940,2002,2005,6-2,189.0
23941,1985,1992,6-6,185.0
23942,1990,1990,6-6,210.0
23943,1998,2006,6-4,190.0
23944,2017,2018,6-7,195.0
23945,1997,2016,6-6,212.0
23946,1989,2003,6-9,245.0
23947,2018,2018,6-10,248.0
23948,1984,1986,7-0,245.0
23949,1990,1990,6-9,250.0
23950,1990,1990,6-6,215.0
23951,2000,2009,6-4,210.0
23952,2010,2016,6-7,209.0
23953,1991,2002,6-6,220.0
23954,2000,2005,6-5,189.0
23955,1991,2002,6-10,215.0
23956,2014,2018,6-7,205.0
23957,2003,2007,6-11,250.0
23958,2014,2017,6-1,191.0
23959,1982,1982,6-5,175.0
23960,2012,2018,6-6,214.0
23961,2005,2006,6-1,200.0
23962,2006,2006,6-3,205.0
23963,1982,1982,6-2,180.0
23964,1994,1994,6-8,260.0
23965,1994,2001,6-7,218.0
23966,1996,1996,6-8,242.0
23967,1991,1999,6-8,210.0
23968,1985,1993,6-2,185.0
23969,2003,2016,6-7,228.0
23970,1989,1991,6-11,240.0
23971,2005,2007,6-10,250.0
23972,2012,2018,6-8,236.0
23973,1994,2004,6-5,210.0
23974,2003,2016,6-7,215.0
23975,2014,2015,6-3,190.0
23976,2012,2012,6-7,220.0
23977,2006,2014,7-0,285.0
23978,2006,2015,6-0,185.0
23979,2004,2006,6-11,235.0
23980,2015,2018,6-9,218.0
23981,1996,2003,6-8,255.0
23982,1985,2000,6-9,224.0
23983,2014,2015,6-6,213.0
23984,2006,2018,6-3,200.0
23985,1990,1998,6-8,265.0
23986,2014,2018,6-5,205.0
23987,1992,1992,6-1,165.0
23988,1991,1991,6-6,180.0
23989,1993,1993,6-7,224.0
23990,1997,2013,6-11,220.0
23991,1991,2005,6-11,215.0
23992,1985,1995,6-7,215.0
23993,2014,2018,6-0,201.0
23994,2015,2018,6-10,240.0
23995,2011,2011,6-9,275.0
23996,2001,2012,6-8,245.0
23997,2005,2005,6-3,180.0
23998,1985,1990,6-5,210.0
23999,2007,2011,6-7,205.0
24000,1985,2000,6-9,225.0
24001,1996,2001,6-5,207.0
24002,1999,1999,6-3,210.0
24003,2010,2018,6-8,215.0
24004,1981,1991,7-0,225.0
24005,2004,2013,6-6,212.0
24006,1997,1997,6-10,265.0
24007,2000,2012,6-1,190.0
24008,1981,1986,6-5,180.0
24009,1984,1985,6-5,215.0
24010,2004,2004,6-5,210.0
24011,1981,1982,6-3,175.0
24012,1999,2018,6-6,220.0
24013,2014,2018,6-6,190.0
24014,1980,1995,7-1,245.0
24015,2018,2018,6-5,186.0
24016,1994,2008,6-3,185.0
24017,2010,2018,6-9,225.0
24018,1986,1993,6-8,220.0
24019,1998,2007,6-11,255.0
24020,1982,1986,6-9,250.0
24021,2016,2018,7-0,240.0
24022,1991,2001,7-0,240.0
24023,2018,2018,6-9,239.0
24024,1985,1989,7-1,230.0
24025,1991,2001,6-6,190.0
24026,2000,2000,6-4,178.0
24027,2005,2005,6-0,180.0
24028,2009,2018,6-2,190.0
24029,1982,1998,6-10,220.0
24030,1989,1989,6-10,230.0
24031,2002,2018,7-1,240.0
24032,2008,2018,6-8,225.0
24033,1989,2000,6-4,185.0
24034,1986,1986,6-7,225.0
24035,1994,2006,6-7,209.0
24036,2015,2015,6-0,185.0
24037,1989,1991,6-7,195.0
24038,1992,2000,6-10,230.0
24039,2005,2014,6-8,210.0
24040,1996,1997,6-2,188.0
24041,1995,2003,6-3,195.0
24042,2017,2018,6-10,233.0
24043,1993,2007,6-6,200.0
24044,2014,2014,6-5,205.0
24045,2016,2017,6-9,250.0
24046,2017,2017,6-3,190.0
24047,2015,2015,6-5,209.0
24048,1996,1996,6-6,195.0
24049,1984,1985,6-4,210.0
24050,2010,2015,6-10,225.0
24051,2014,2018,6-3,175.0
24052,1999,2004,6-11,220.0
24053,2016,2016,6-7,232.0
24054,2015,2018,6-5,194.0
24055,2018,2018,6-4,185.0
24056,2013,2015,6-9,224.0
24057,1996,1996,7-0,265.0
24058,2002,2009,5-11,166.0
24059,2001,2006,6-2,205.0
24060,2018,2018,6-6,195.0
24061,1998,2000,7-3,212.0
24062,1991,1991,6-6,212.0
24063,1986,1987,6-3,190.0
24064,1996,2001,7-0,253.0
24065,2012,2017,6-2,175.0
24066,1987,1994,6-9,235.0
24067,1991,2005,6-10,230.0
24068,1988,1988,6-8,210.0
24069,1991,2004,6-1,180.0
24070,2001,2005,7-0,260.0
24071,1981,1981,6-4,185.0
24072,1981,1987,6-6,190.0
24073,1998,1998,6-4,196.0
24074,2002,2011,6-11,255.0
24075,2002,2014,7-0,255.0
24076,2018,2018,6-10,235.0
24077,2007,2010,6-6,220.0
24078,2011,2011,5-11,205.0
24079,2018,2018,7-0,232.0
24080,2018,2018,6-6,210.0
24081,2010,2018,6-0,175.0
24082,2005,2018,6-10,255.0
24083,2001,2001,6-0,175.0
24084,1985,1995,6-3,165.0
24085,1984,1984,6-8,210.0
24086,1988,1989,6-9,205.0
24087,2008,2018,6-1,175.0
24088,1992,2000,6-10,224.0
