player_id,date_of_birth,city_of_birth,state_of_birth
23893,"September 24, 1958",Harvey,Illinois
23905,"February 24, 1958",Ardmore,Pennsylvania
23959,"May 22, 1958",Indianapolis,Indiana
23963,"July 3, 1958",Dallas,Texas
24020,"August 17, 1958",Huntsville,Alabama
24029,"June 21, 1959",Ogden,Utah
24103,"September 1, 1957",Houston,Texas
24172,"October 5, 1958",New York,New York
24213,"October 18, 1958",King,North Carolina
24226,"October 15, 1958",Hollywood,Florida
24243,"June 12, 1956",Town Creek,Alabama
24277,"June 11, 1959",Lakewood,California
24295,"February 2, 1959",New York,New York
24548,"October 30, 1958",Reykjavik,Iceland
24556,"June 25, 1955",Sanford,Florida
24631,"August 2, 1955",American Falls,Idaho
24780,"April 21, 1959",Rockville,Maryland
24828,"July 18, 1956",Monticello,Florida
24837,"November 23, 1958",Weirsdale,Florida
24855,"November 3, 1957",Clairton,Pennsylvania
24944,"December 17, 1959",Brooklyn,New York
24993,"March 9, 1959",Minneapolis,Minnesota
25030,"May 1, 1955",Boston,Massachusetts
25057,"October 1, 1958",Dallas,Texas
25061,"February 22, 1959",Philadelphia,Pennsylvania
25065,"March 15, 1959",Cassopolis,Michigan
25096,"February 19, 1958",Louisville,Kentucky
25186,"October 5, 1956",Lima,Ohio
25193,"November 13, 1959",Memphis,Tennessee
25198,"July 29, 1959",Tyler,Texas
25205,"January 8, 1959",St. Paul,Minnesota
25348,"February 12, 1959",Anderson,South Carolina
25348,"January 1, 1993",Anderson,South Carolina
25378,"March 13, 1958",Milwaukee,Wisconsin
25574,"July 5, 1959",Tacoma,Washington
25579,"December 24, 1956",Ocala,Florida
25581,"February 25, 1958",Cupertino,California
25693,"December 16, 1958",Bayshore,New York
25729,"May 10, 1959",Syracuse,New York
25824,"April 12, 1958",Cleveland,Ohio
25862,"September 8, 1959",Cheverly,Maryland
25999,"September 10, 1958",Anderson,Indiana
26014,"February 16, 1959",Glen Ridge,New Jersey
26026,"June 10, 1959",Knoxville,Tennessee
26046,"February 3, 1959",Chicago,Illinois
26064,"February 15, 1959",Hanford,California
26069,"June 10, 1959",Kalamazoo,Michigan
26077,"October 29, 1958",Salt Lake City,Utah
26193,"March 8, 1960",Rocky Mount,North Carolina
26203,"February 16, 1958",Columbus,Ohio
26262,"July 3, 1959",Elizabeth,New Jersey
26266,"June 2, 1958",Gray,Georgia
26269,"May 20, 1959",Southhampton,New York
26275,"December 16, 1959",Bernice,Louisiana
26297,"October 3, 1958",Euclid,Ohio
23673,"December 28, 1960",Dayton,Ohio
23683,"November 19, 1960",San Pedro,California
23732,"April 23, 1960",Bridgeport,Connecticut
23775,"March 26, 1956",Baltimore,Maryland
24090,"September 17, 1959",Memphis,Tennessee
24118,"December 29, 1955",Philadelphia,Pennsylvania
24137,"March 15, 1961",Chicago,Illinois
24152,"January 22, 1961",Baltimore,Maryland
24282,"January 24, 1957",Westminster,California
24283,"February 8, 1959",Louisville,Kentucky
24289,"September 28, 1960",Gulfport,Mississippi
24318,"March 1, 1959",Stillwater,Minnesota
24375,"June 13, 1957",Rochester,New York
24376,"March 6, 1960",Gastonia,North Carolina
24433,"April 22, 1960",East St. Louis,Illinois
24540,"April 28, 1961",Sacramento,California
24623,"June 3, 1960",Independence,Kansas
24665,"January 31, 1960",Monroe,Louisiana
24682,"June 27, 1960",Park Forest,Illinois
24741,"September 15, 1956",Jamaica,New York
24862,"September 20, 1960",New Canaan,Connecticut
24884,"September 1, 1959",Buffalo,New York
24921,"July 2, 1961",Cleveland,Ohio
24968,"June 12, 1960",Warren,Michigan
25042,"August 18, 1960",Pine Bluff,Arkansas
25044,"January 4, 1961",San Diego,California
25056,"June 10, 1958",Eau Claire,Wisconsin
25106,"November 24, 1959",South Bend,Indiana
25215,"June 8, 1959",San Jose,California
25289,"August 23, 1960",Virginia Beach,Virginia
25358,"February 19, 1960",Pittsburg,Kansas
25367,"June 13, 1959",Cortez,Colorado
25387,"December 18, 1960",Jackson,Mississippi
25509,"September 29, 1961",Birmingham,Alabama
25513,"August 19, 1959",Dallas,Texas
25520,"March 23, 1958",Rocky Mount,North Carolina
25552,"December 24, 1958",Richmond,Virginia
25657,"March 13, 1960",Birmingham,Alabama
25700,"October 26, 1960",Pontiac,Michigan
25700,"October 6, 1982",Pontiac,Michigan
25717,"May 7, 1960",Vidalia,Louisiana
