,player_id,player,year,round,pick,position,school,last name,first name
1918,,Martynas AndriuÅ¡keviÄius,2005,2,44,C,Å½algiris Kaunas,AndriuÅ¡keviÄius,Martynas
1919,,Louis Williams,2005,2,45,SG,South Gwinnett HS,Williams,Louis
1920,,Erazem Lorbek,2005,2,46,F,Climamio Bologna,Lorbek,Erazem
1921,,MickaÃ«l Gelabale,2005,2,48,F,Real Madrid,Gelabale,MickaÃ«l
1922,,Axel Hervelle,2005,2,52,F,Real Madrid,Hervelle,Axel
1923,,UroÅ¡ Slokar,2005,2,58,F,Snaidero Udine,Slokar,UroÅ¡
1924,,Cenk Akyol,2005,2,59,G,Efes Pilsen,Akyol,Cenk
1925,,J. J. Redick,2006,1,11,SG,Duke,Redick,J. J.
1926,,Sergio RodrÃ­guez,2006,1,27,G,Adecco Estudiantes,RodrÃ­guez,Sergio
1927,,Kosta PeroviÄ‡,2006,2,38,C,Partizan Belgrade,PeroviÄ‡,Kosta
1928,,Denham Brown,2006,2,40,G,Connecticut,Brown,Denham
1929,,Lior Eliyahu,2006,2,44,F,Hapoel Galil Elyon,Eliyahu,Lior
1930,,Vladimir Veremeenko,2006,2,48,F,Dynamo St. Petersburg,Veremeenko,Vladimir
1931,,Yotam Halperin,2006,2,53,G,Union Olimpija,Halperin,Yotam
1932,,Ejike Ugboaja,2006,2,55,F,Union Bank Lagos,Ugboaja,Ejike
1933,,Edin BavÄiÄ‡,2006,2,56,F,ASA BH Telecom,BavÄiÄ‡,Edin
1934,,Loukas Mavrokefalidis,2006,2,57,C,PAOK,Mavrokefalidis,Loukas
1935,,J. R. Pinnock,2006,2,58,G,George Washington,Pinnock,J. R.
1936,,Jianlian Yi,2007,1,6,PF,Guangdong Southern Tigers,Yi,Jianlian
1937,,Rudy FernÃ¡ndez,2007,1,24,SG,Joventut Badalona,FernÃ¡ndez,Rudy
1938,,Petteri Koponen,2007,1,30,SG,Tapiolan Honka,Koponen,Petteri
1939,,Stanko BaraÄ‡,2007,2,39,C,Å iroki Brijeg,BaraÄ‡,Stanko
1940,,Yue Sun,2007,2,40,SF,Beijing Olympians,Sun,Yue
1941,,Adam Haluska,2007,2,43,SG,Iowa,Haluska,Adam
1942,,Reyshawn Terry,2007,2,44,SF,North Carolina,Terry,Reyshawn
1943,,Jared Jordan,2007,2,45,PG,Marist,Jordan,Jared
1944,,Renaldas Seibutis,2007,2,50,SG,Maroussi,Seibutis,Renaldas
1945,,Brad Newley,2007,2,54,SF,Townsville Crocodiles,Newley,Brad
1946,,Herbert Hill,2007,2,55,PF,Providence,Hill,Herbert
1947,,Sammy Mejia,2007,2,57,SG,DePaul,Mejia,Sammy
1948,,Giorgos Printezis,2007,2,58,PF,Olympia Larissa,Printezis,Giorgos
1949,,Milovan RakoviÄ‡,2007,2,60,C,Mega Ishrana,RakoviÄ‡,Milovan
1950,,O. J. Mayo,2008,1,3,SG,USC,Mayo,O. J.
1951,,D. J. Augustin,2008,1,9,PG,Texas,Augustin,D. J.
1952,,Javale McGee,2008,1,18,C,Nevada,McGee,Javale
1953,,J. J. Hickson,2008,1,19,PF,NC State,Hickson,J. J.
1954,,Alexis AjinÃ§a,2008,1,20,C,HyÃ¨res-Toulon,AjinÃ§a,Alexis
