,Player,Career Start,Career End,Col Games Played,Col MP,Col FG,Col FGA,Col 2P,Col 2PA,Col 3P,Col 3PA,Col FT,Col FTA,Col ORB,Col DRB,Col TRB,Col AST,Col STL,Col BLK,Col TOV,Col PTS,player_id
54,Cameron Bairstow,2013,2014,34,1119,237,426,236,423,1,3,219,298,76,175,251,53,19,51,68,694,9273
55,Cameron Payne,2013,2015,69,2238,435,1007,279,573,156,434,253,324,31,221,252,394,125,37,197,1279,12242
56,Carl Landry,2006,2007,34,1035,219,367,215,348,4,19,201,277,101,148,249,42,40,32,102,643,11414
57,Carlos Arroyo,2000,2001,29,1113,215,499,163,323,52,176,134,180,24,76,100,117,51,6,107,616,9234
58,Carlos Boozer,2001,2002,35,993,230,346,230,345,0,1,178,236,119,184,303,38,31,21,65,638,9489
59,Carmelo Anthony,2002,2003,35,1274,277,612,221,446,56,166,168,238,101,248,349,77,55,30,77,778,9208
60,Caron Butler,2001,2002,34,1223,253,521,223,446,30,75,155,199,108,148,256,101,71,13,98,691,9675
61,Cartier Martin,2006,2007,35,963,197,428,119,226,78,202,127,159,69,86,155,45,24,8,58,599,11652
62,Casey Jacobsen,2000,2002,64,2137,408,865,260,515,148,350,310,392,73,198,271,184,36,6,138,1274,11043
63,Casper Ware,2010,2012,68,2333,361,879,192,418,169,461,285,355,29,137,166,264,102,9,183,1176,13317
64,Channing Frye,2004,2005,37,1148,227,410,224,393,3,17,127,153,104,178,282,72,35,85,64,584,10425
65,Charles Jenkins,2008,2011,99,3588,687,1516,527,1106,160,410,543,665,84,334,418,429,164,56,288,2077,11075
66,Charles Williams,2017,2019,66,2200,462,1036,328,694,134,342,205,250,45,157,202,42,50,19,107,1263,13461
67,Chase Budinger,2007,2009,69,2517,423,913,283,553,140,360,227,298,83,318,401,217,88,22,165,1213,9641
68,Chasson Randle,2013,2015,73,2610,435,999,277,576,158,423,371,451,31,221,252,189,87,7,163,1399,12409
69,Chris Douglas-Roberts,2006,2008,75,2077,453,836,389,669,64,167,292,405,90,195,285,132,88,34,149,1262,10142
70,Chris Harris,2009,2010,30,1047,183,512,95,255,88,257,178,204,8,67,75,56,60,3,88,632,10755
71,Chris Kaman,2002,2003,31,1055,244,392,244,392,0,0,206,275,112,261,373,37,19,98,137,694,11235
72,Cleanthony Early,2012,2014,75,1965,371,790,258,465,113,325,280,342,137,288,425,50,58,63,131,1135,10201
73,Cody Zeller,2011,2013,72,2087,399,674,399,672,0,2,359,475,188,337,525,92,86,87,141,1157,13633
74,Cory Higgins,2008,2011,100,3404,558,1190,458,905,100,285,519,616,69,342,411,247,156,36,239,1735,10857
75,Courtney Lee,2007,2008,36,1079,259,543,190,369,69,174,148,180,48,127,175,75,65,28,84,735,11458
76,Craig Brackins,2008,2009,32,1041,243,512,222,438,21,74,138,198,55,248,303,43,17,30,74,645,9519
77,Craig Smith,2002,2006,101,3411,719,1249,708,1203,11,46,377,594,295,573,868,196,122,87,228,1826,12839
78,D'Angelo Russell,2014,2015,35,1188,231,515,136,284,95,231,118,156,35,163,198,175,55,11,102,675,12618
79,D.J. Augustin,2007,2008,38,1417,242,551,168,357,74,194,173,221,20,92,112,219,47,0,105,731,9247
80,D.J. White,2007,2008,33,1105,216,357,215,354,1,3,142,206,100,241,341,25,26,54,63,575,13400
