,Player,Career Start,Career End,Col Games Played,Col MP,Col FG,Col FGA,Col 2P,Col 2PA,Col 3P,Col 3PA,Col FT,Col FTA,Col ORB,Col DRB,Col TRB,Col AST,Col STL,Col BLK,Col TOV,Col PTS,player_id
235,Jordan Hamilton,2010,2011,36,1159,243,552,153,318,90,234,95,122,72,204,276,76,31,23,77,671,10695
236,Jordan Hill,2008,2009,34,1213,252,469,252,469,0,0,117,179,143,232,375,50,30,58,97,621,10871
237,Jordan McRae,2013,2014,37,1190,223,512,144,287,79,225,167,212,26,102,128,91,25,38,77,692,11799
238,Jordan Williams,2010,2011,33,1073,213,396,213,396,0,0,131,228,121,267,388,21,23,45,53,557,13487
239,Joseph Forte,2000,2001,33,1145,251,558,196,412,55,146,133,156,41,160,201,116,67,12,84,690,10383
240,Josh Akognon,2007,2009,64,2153,460,1090,208,429,252,661,239,267,36,172,208,99,76,5,139,1411,9135
241,Josh Davis,2012,2013,35,1250,207,421,206,419,1,2,202,282,143,231,374,61,28,30,92,617,10023
242,Josh Hart,2015,2017,76,2448,466,911,337,574,129,337,230,307,125,375,500,183,102,20,137,1291,10772
243,Josh Howard,2002,2003,31,1002,204,428,151,286,53,142,145,174,102,155,257,59,64,48,82,606,10944
244,Josh Jackson,2016,2017,35,1077,220,429,186,339,34,90,98,173,81,177,258,104,59,37,97,572,11021
245,Juan Dixon,2000,2002,72,2307,483,1015,329,632,154,383,269,305,95,224,319,197,187,15,175,1389,10120
246,Julius Hodge,2002,2005,96,3351,550,1147,469,895,81,252,507,664,192,421,613,383,130,72,271,1688,10887
247,Julius Randle,2013,2014,40,1233,196,391,193,373,3,18,204,289,139,277,416,57,20,31,101,599,12410
248,Justin Harper,2010,2011,37,1178,245,459,168,287,77,172,94,118,62,194,256,43,23,46,56,661,10741
249,Justin Jackson,2016,2017,40,1281,264,596,159,312,105,284,98,131,58,128,186,113,31,9,69,731,11022
250,Juwan Howard,2013,2015,65,2147,424,994,307,683,117,311,195,231,92,213,305,149,62,25,131,1160,10945
251,K.J. McDaniels,2013,2014,36,1212,209,455,167,317,42,138,154,183,86,169,255,57,41,100,83,614,11735
252,Kalin Lucas,2008,2011,72,2349,367,891,273,650,94,241,309,380,42,111,153,290,74,8,171,1137,11559
253,Kareem Rush,2000,2002,62,1945,441,1019,261,591,180,428,199,254,106,256,362,140,73,43,190,1261,12613
254,Kawhi Leonard,2010,2011,36,1172,211,475,186,389,25,86,110,145,111,269,380,91,51,21,76,557,11479
255,Kay Felder,2014,2016,68,2558,452,1046,329,693,123,353,424,506,51,256,307,576,135,15,257,1451,10318
256,Keith Benson,2009,2011,70,2228,439,812,428,784,11,28,346,505,204,517,721,66,43,242,124,1235,9398
257,Keith Bogans,2000,2003,70,2118,404,869,250,455,154,414,179,249,106,190,296,178,76,12,167,1141,9463
258,Keith Langford,2002,2003,38,1246,240,453,218,377,22,76,101,159,83,102,185,75,34,31,73,603,11422
259,Keith McLeod,2001,2002,33,1109,224,496,135,280,89,216,218,270,25,112,137,90,65,2,102,755,11780
260,Kelly Olynyk,2012,2013,32,845,215,342,206,312,9,30,132,170,77,158,235,55,22,36,77,571,12150
261,Kemba Walker,2010,2011,41,1543,316,739,241,512,75,227,258,315,53,170,223,184,77,7,93,965,13289
262,Kenneth Faried,2009,2011,70,2276,457,771,456,767,1,4,280,478,348,616,964,56,123,149,176,1195,10300
263,Kent Bazemore,2011,2012,35,1103,186,457,135,298,51,159,115,182,65,148,213,107,74,12,112,538,9351
264,Kentavious Caldwell-Pope,2012,2013,32,1086,186,430,102,205,84,225,135,169,37,189,226,58,65,17,64,591,9701
265,Kevin Durant,2006,2007,35,1255,306,647,224,444,82,203,209,256,106,284,390,46,66,67,99,903,10186
266,Kevin Jones,2011,2012,33,1265,260,511,226,383,34,128,103,132,141,219,360,41,23,34,42,657,11191
267,Kevin Love,2007,2008,39,1156,227,406,198,324,29,82,198,258,142,273,415,75,27,56,78,681,11550
268,Kevin Martin,2001,2004,79,2515,565,1224,391,721,174,503,534,635,75,279,354,133,134,30,232,1838,11661
269,Kevin Murphy,2010,2012,66,2105,441,961,325,660,116,301,243,334,48,273,321,134,62,13,215,1241,11979
270,Kirk Haston,2000,2001,33,1018,243,552,217,483,26,69,114,166,80,208,288,41,36,40,79,626,10782
271,Kirk Hinrich,2001,2003,74,2383,430,854,275,497,155,357,172,229,82,234,316,316,128,31,182,1187,10880
272,Kirk Snyder,2003,2004,34,1079,209,485,155,330,54,155,166,227,65,130,195,117,35,22,119,638,12893
273,Klay Thompson,2009,2011,65,2275,440,1036,266,581,174,455,288,351,62,275,337,197,100,54,219,1342,13108
274,Kris Dunn,2015,2016,33,1088,184,411,142,298,42,113,132,190,36,140,176,206,82,20,116,542,10182
275,Kris Humphries,2003,2004,29,990,221,498,204,448,17,50,170,229,91,203,294,20,27,33,82,629,10967
276,Kyle Collinsworth,2015,2016,37,1249,206,444,197,407,9,37,146,224,86,217,303,275,74,20,126,567,9854
277,Kyle Korver,2002,2003,34,1082,183,391,54,122,129,269,109,120,46,171,217,104,50,23,68,604,11356
278,Kyle O'Quinn,2011,2012,36,1125,205,358,199,326,6,32,156,224,114,258,372,51,25,97,95,572,12118
279,Kyle Singler,2008,2011,114,3915,655,1531,439,945,216,586,415,537,290,527,817,245,132,82,241,1941,12802
280,Kyle Wiltjer,2014,2016,74,2258,502,977,344,625,158,352,212,256,112,351,463,124,31,54,117,1374,13547
281,LaMarcus Aldridge,2005,2006,37,1247,219,385,219,385,0,0,117,181,135,204,339,20,50,73,59,555,9141
282,Lamar Patterson,2013,2014,36,1174,202,458,122,252,80,206,132,175,35,140,175,154,51,12,93,616,12225
283,Lamond Murray,2016,2017,31,1060,251,528,200,394,51,134,109,140,36,140,176,40,35,12,81,662,11986
284,Landry Fields,2009,2010,32,1161,248,506,219,420,29,86,179,257,81,199,280,89,51,25,83,704,10340
285,Langston Galloway,2013,2014,34,1231,190,428,82,184,108,244,114,138,28,117,145,53,36,17,28,602,10450
286,Lauri Markkanen,2016,2017,37,1140,185,376,116,213,69,163,137,164,88,178,266,32,15,19,40,576,11637
287,Lawrence Roberts,2004,2005,32,1023,171,382,159,341,12,41,188,288,110,241,351,61,50,26,87,542,12515
288,Lazar Hayward,2008,2010,69,2206,426,949,308,615,118,334,216,260,171,387,558,91,99,27,132,1186,10801
289,Leon Powe,2005,2006,27,953,178,359,175,350,3,9,194,270,89,184,273,38,24,15,66,553,12347
290,Lester Hudson,2007,2009,65,2372,604,1324,374,705,230,619,289,337,142,371,513,283,169,40,232,1727,10952
291,Lionel Chalmers,2003,2004,37,1293,204,454,103,207,101,247,105,148,17,105,122,117,40,1,103,614,9771
292,Lonny Baxter,2000,2001,36,935,219,387,218,385,1,2,122,206,101,185,286,19,31,55,56,561,9345
293,Luis Flores,2001,2004,90,3342,645,1432,482,1010,163,422,593,674,133,272,405,206,161,21,267,2046,10359
294,Luke Babbitt,2008,2010,68,2370,445,927,370,749,75,178,351,393,133,421,554,119,59,51,146,1316,9260
295,Luke Harangody,2007,2010,97,3111,803,1678,761,1550,42,128,469,605,303,722,1025,172,71,80,192,2117,10724
296,Luke Jackson,2001,2004,66,2141,399,843,280,562,119,281,322,373,112,299,411,254,83,17,162,1239,11023
297,Luke Jackson,2001,2004,66,2141,399,843,280,562,119,281,322,373,112,299,411,254,83,17,162,1239,11024
298,Luke Kennard,2016,2017,37,1314,237,485,149,284,88,201,160,187,43,145,188,91,31,13,59,722,11269
299,Luke Ridnour,2001,2003,68,2378,372,831,198,408,174,423,273,312,29,186,215,394,121,6,236,1191,12486
300,Luol Deng,2003,2004,37,1149,210,441,170,330,40,111,98,138,82,173,255,68,49,39,83,558,10076
301,Luther Head,2004,2005,39,1297,214,462,98,179,116,283,78,99,24,131,155,150,67,9,69,622,10806
302,Lynn Greer,2000,2002,68,2697,441,1096,265,636,176,460,336,386,53,176,229,332,127,9,184,1394,10629
303,Malcolm Brogdon,2015,2016,37,1263,230,503,155,311,75,192,140,156,19,131,150,115,35,9,52,675,9571
304,Malcolm Delaney,2008,2011,101,3738,533,1342,316,732,217,610,636,745,91,286,377,436,147,20,299,1919,10066
305,Malik Monk,2016,2017,38,1218,251,558,147,296,104,262,148,180,12,83,95,87,36,19,75,754,11904
306,Manny Harris,2008,2010,66,2272,362,866,262,551,100,315,328,394,119,305,424,280,99,29,198,1152,10761
307,Marcus Banks,2002,2003,32,1154,223,434,182,312,41,122,162,214,18,89,107,175,91,4,126,649,9287
308,Marcus Georges-Hunt,2015,2016,36,1167,178,392,138,275,40,117,205,249,32,90,122,119,31,16,73,601,10500
309,Marcus Morris,2010,2011,38,1076,240,421,214,345,26,76,148,215,99,191,290,62,32,24,67,654,11934
310,Marcus Paige,2013,2014,34,1211,191,434,105,213,86,221,128,146,18,91,109,143,51,7,73,596,12188
311,Marcus Smart,2013,2014,31,1014,163,386,114,222,49,164,182,250,44,139,183,148,89,18,82,557,12825
312,Marcus Thornton,2007,2015,161,5598,1059,2359,603,1220,456,1139,596,750,161,453,614,385,180,49,377,3170,13120
313,Markel Brown,2013,2014,34,1201,190,402,135,257,55,145,149,194,36,143,179,99,34,35,55,584,9607
314,Markelle Fultz,2016,2017,25,892,209,439,157,313,52,126,109,168,33,110,143,148,40,30,80,579,10434
315,Marquis Daniels,2002,2003,34,1187,244,476,214,378,30,98,107,159,63,147,210,113,78,8,102,625,9983
316,Mason Plumlee,2012,2013,36,1248,221,369,221,369,0,0,173,254,98,260,358,70,36,52,103,615,12318
317,Matt Carroll,2002,2003,34,1154,215,487,116,244,99,243,135,160,29,140,169,55,37,5,54,664,9739
318,Matt Freije,2003,2004,33,985,185,446,123,272,62,174,175,222,66,112,178,30,23,21,34,607,10420
319,Matt Williams,2016,2017,36,1315,178,455,52,127,126,328,60,74,16,138,154,69,25,1,65,542,13496
320,Matthew Dellavedova,2012,2013,35,1273,170,421,84,196,86,225,127,149,23,95,118,223,40,4,99,553,10070
321,Maurice Ager,2005,2006,34,1170,226,495,143,274,83,221,121,159,24,115,139,84,23,11,87,656,9128
322,Maurice Baker,2000,2001,30,1121,200,381,136,224,64,157,129,160,74,128,202,127,61,4,125,593,9276
323,Melvin Ely,2001,2002,28,999,246,437,246,436,0,1,161,219,90,164,254,50,19,88,73,653,10256
324,Michael Beasley,2007,2008,33,1041,307,577,271,482,36,95,216,279,131,277,408,38,42,54,95,866,9361
325,Michael Bradley,2000,2001,31,1053,254,367,242,333,12,34,125,212,107,196,303,81,28,56,88,645,9530
326,Michael Gbinije,2015,2016,37,1403,225,488,134,255,91,233,106,160,40,111,151,159,70,13,105,647,10491
327,Michael Young,2016,2017,33,1097,217,479,175,356,42,123,172,221,53,170,223,90,19,25,70,648,13624
328,Mike Brown,2015,2016,34,1167,188,466,144,328,44,138,159,198,75,125,200,110,52,12,108,579,9608
329,Mike Dunleavy,2001,2002,35,1133,218,451,130,218,88,233,81,119,45,206,251,72,80,26,61,605,10180
330,Mike Dunleavy,2001,2002,35,1133,218,451,130,218,88,233,81,119,45,206,251,72,80,26,61,605,10181
331,Mike Harris,2003,2005,64,2024,457,755,434,693,23,62,280,373,214,444,658,79,85,59,128,1217,10762
332,Mike James,2011,2012,32,995,211,466,172,346,39,120,87,108,30,72,102,63,50,4,66,548,11054
333,Mike James,2011,2012,32,995,211,466,172,346,39,120,87,108,30,72,102,63,50,4,66,548,11055
334,Mike Muscala,2011,2013,69,2126,420,830,409,794,11,36,382,465,195,502,697,141,33,139,130,1233,11992
335,Mike Scott,2011,2012,32,999,215,382,209,362,6,20,139,172,70,195,265,37,21,15,67,575,12703
336,Mike Smith,2010,2020,61,2172,432,956,331,678,101,278,239,302,71,269,340,184,66,15,161,1204,12869
337,Mike Sweetney,2001,2003,63,1983,449,809,449,805,0,4,430,567,240,402,642,115,75,157,161,1328,13012
338,Mike Wilks,2000,2001,30,1114,190,434,134,289,56,145,168,215,45,102,147,90,59,8,76,604,13450
339,Mike Williams,2003,2004,31,888,228,427,227,422,1,5,130,169,79,139,218,37,60,35,53,587,13498
340,Monte Morris,2016,2017,35,1237,216,465,162,322,54,143,89,111,40,129,169,217,53,10,42,575,11937
341,Montrezl Harrell,2014,2015,35,1229,213,376,204,339,9,37,114,191,111,210,321,49,33,42,69,549,10745
342,Morris Almond,2005,2007,60,1974,487,992,362,715,125,277,357,431,92,232,324,69,77,43,189,1456,9165
343,Nate Robinson,2004,2005,35,1101,188,406,126,245,62,161,136,174,53,82,135,149,61,6,71,574,12536
344,Nate Wolters,2010,2013,98,3501,693,1506,554,1097,139,409,535,671,99,401,500,583,157,13,220,2060,13571
345,Nick Calathes,2007,2009,72,2374,380,836,249,491,131,345,279,390,72,307,379,452,126,9,223,1170,9696
346,Nick Collison,2001,2003,75,2222,526,921,510,875,16,46,211,346,249,438,687,148,83,157,185,1279,9856
347,Nick Fazekas,2004,2007,97,3029,739,1388,647,1115,92,273,465,565,256,741,997,154,80,148,193,2035,10310
348,Nick Johnson,2013,2014,38,1257,205,474,143,305,62,169,146,187,31,123,154,107,43,25,64,618,11138
349,Nick Young,2006,2007,37,1227,239,455,195,355,44,100,125,159,44,127,171,50,27,10,90,647,13625
350,Nik Stauskas,2013,2014,36,1281,185,394,93,186,92,208,168,204,15,90,105,118,20,11,67,630,12937
351,Nikola Vucevic,2010,2011,34,1187,215,426,186,343,29,83,123,163,97,253,350,54,18,47,58,582,13266
352,Nolan Smith,2009,2011,75,2608,499,1110,382,794,117,316,309,389,79,193,272,303,92,12,188,1424,12870
353,Norman Powell,2014,2015,36,1244,213,467,175,348,38,119,127,169,21,148,169,75,66,16,80,591,12352
354,Norris Cole,2009,2011,69,2412,436,1000,347,740,89,260,358,430,41,260,301,337,141,6,188,1319,9835
355,O.J. Mayo,2007,2008,33,1216,237,536,149,321,88,215,122,152,35,115,150,109,51,13,117,684,11693
356,Orlando Johnson,2009,2012,93,3071,605,1292,423,849,182,443,433,588,157,382,539,254,94,56,244,1825,11140
357,P.J. Tucker,2005,2006,37,1276,225,437,223,434,2,3,142,190,105,248,353,106,66,13,115,594,13176
358,Pascal Siakam,2015,2016,34,1176,275,510,272,495,3,15,137,202,132,263,395,58,34,75,67,690,12769
359,Patricio Garino,2015,2016,38,1217,203,398,145,263,58,135,73,106,52,109,161,56,52,31,72,537,10464
360,Patrick Christopher,2009,2010,35,1209,204,457,146,285,58,172,80,93,50,140,190,71,56,3,50,546,9806
361,Patrick Patterson,2008,2010,72,2402,455,772,431,702,24,70,219,298,208,391,599,103,48,121,107,1153,12226
362,Paul Davis,2005,2006,33,1018,206,364,200,345,6,19,160,184,87,214,301,54,34,29,81,578,10032
363,Paul Graham,2008,2009,31,1071,196,503,130,306,66,197,117,141,26,94,120,62,20,3,64,575,10570
364,Paul Millsap,2004,2006,62,2187,483,843,478,828,5,15,270,442,353,445,798,65,95,131,157,1241,11871
365,Pierre Jackson,2012,2013,36,1252,216,506,128,261,88,245,192,240,24,111,135,255,54,0,122,712,11032
366,Predrag Savovic,2000,2001,31,1006,189,418,128,247,61,171,106,143,45,102,147,107,39,2,96,545,12661
367,Quincy Douby,2005,2006,33,1211,287,621,171,332,116,289,149,176,27,114,141,103,58,27,92,839,10136
368,Quincy Pondexter,2009,2010,36,1162,245,464,227,413,18,51,187,226,107,158,265,63,46,21,68,695,12329
369,Quinn Cook,2014,2015,39,1396,199,439,97,181,102,258,98,110,15,116,131,103,39,1,47,598,9885
370,Quinton Ross,2002,2003,30,1056,191,422,149,281,42,141,184,232,77,114,191,63,46,24,64,608,12579
371,R.J. Hunter,2013,2015,68,2400,384,922,204,407,180,515,344,391,38,278,316,183,138,66,116,1292,10975
372,Rafael Araujo,2003,2004,30,895,211,368,203,338,8,30,122,169,87,216,303,37,43,25,87,552,9214
373,Rakeem Christmas,2014,2015,31,1064,203,368,203,367,0,1,136,191,97,185,282,47,29,78,78,542,9804
374,Randolph Morris,2006,2007,34,937,202,341,202,341,0,0,142,208,67,197,264,37,26,70,74,546,11938
375,Randy Foye,2005,2006,33,1145,226,550,137,296,89,254,136,172,54,136,190,100,46,21,71,677,10401
376,Randy Holcomb,2001,2002,33,1067,220,426,208,386,12,40,106,167,88,208,296,57,24,32,116,558,10895
377,Rashad McCants,2002,2004,65,2007,431,889,281,524,150,365,181,251,120,179,299,116,102,39,157,1193,11704
378,Rasual Butler,2000,2002,61,2366,464,1111,310,681,154,430,229,269,126,293,419,101,75,63,177,1311,9681
379,Rawle Marshall,2004,2005,32,1157,210,477,171,345,39,132,177,242,85,161,246,70,59,40,102,636,11646
380,Ray McCallum,2011,2013,69,2421,406,855,334,600,72,255,288,389,80,250,330,290,121,27,148,1172,11700
381,Reece Gaines,2001,2003,64,2079,386,841,220,408,166,433,309,402,43,175,218,273,99,15,165,1247,10444
382,Reggie Jackson,2010,2011,34,1161,219,435,148,266,71,169,109,137,35,111,146,152,36,18,81,618,11035
383,Reggie Johnson,2015,2016,32,1153,192,519,138,334,54,185,140,194,39,77,116,129,53,3,90,578,11142
384,Reggie Williams,2006,2008,58,1948,607,1145,488,753,119,392,290,437,203,302,505,243,110,27,174,1623,13505
385,Reggie Williams,2006,2008,58,1948,607,1145,488,753,119,392,290,437,203,302,505,243,110,27,174,1623,13506
386,Robbie Hummel,2011,2012,35,1128,194,465,122,277,72,188,113,137,55,196,251,66,23,42,32,573,10963
387,Robert Covington,2011,2012,33,1028,212,403,147,258,65,145,100,129,95,165,260,43,51,45,77,589,9916
388,Robert Hite,2005,2006,34,1127,201,446,116,239,85,207,71,87,46,152,198,48,50,10,55,558,10884
389,Rodney Carney,2004,2006,75,2158,431,1024,253,529,178,495,203,273,120,228,348,91,88,53,109,1243,9727
390,Rodney Hood,2013,2014,35,1150,191,412,120,243,71,169,109,135,29,109,138,75,25,9,54,562,10917
391,Rodney McGruder,2012,2013,35,1171,204,462,153,310,51,152,88,117,74,114,188,71,44,9,58,547,11756
392,Rodney Stuckey,2005,2007,59,1955,477,1011,379,702,98,309,386,479,67,212,279,283,137,17,205,1438,12992
393,Ronald Dupree,2001,2002,34,1203,220,487,189,379,31,108,81,145,94,196,290,73,35,22,107,552,10185
394,Ronnie Brewer,2005,2006,32,1112,197,447,146,296,51,151,144,192,39,115,154,104,83,15,70,589,9555
395,Russ Smith,2012,2014,77,2295,457,1041,325,671,132,370,375,493,70,184,254,288,157,6,213,1421,12877
396,Ryan Anderson,2006,2008,66,2178,419,866,297,558,122,308,276,328,179,418,597,63,34,36,121,1236,9197
397,Ryan Gomes,2002,2005,92,3321,652,1274,571,1047,81,227,421,509,301,539,840,233,148,34,230,1806,10544
398,Ryan Humphrey,2001,2002,31,1103,231,472,228,466,3,6,122,204,115,222,337,80,33,87,77,587,10965
399,Salim Stoudamire,2004,2005,36,1126,210,417,90,179,120,238,122,134,9,74,83,78,30,4,85,662,12977
400,Sam Dekker,2014,2015,40,1239,213,406,163,255,50,151,80,113,77,143,220,49,21,18,36,556,10064
401,Sam Young,2007,2009,73,2333,515,1025,417,765,98,260,230,322,152,305,457,85,76,72,175,1358,13627
402,Scotty Hopson,2010,2011,32,937,188,416,135,275,53,141,114,155,28,79,107,41,26,5,89,543,10924
403,Sean Kilpatrick,2012,2014,68,2318,408,994,233,460,175,534,287,358,81,241,322,149,90,9,137,1278,11294
404,Sean Lampley,2000,2001,31,1073,209,416,202,383,7,33,180,244,46,178,224,102,29,14,112,605,11413
405,Sean May,2004,2005,37,992,228,402,228,399,0,3,191,252,142,255,397,62,43,38,94,647,11686
406,Sean Singletary,2006,2008,65,2186,373,901,236,540,137,361,379,440,62,212,274,353,98,2,228,1262,12803
407,Semaj Christon,2013,2014,34,1200,201,420,182,371,19,49,157,235,15,76,91,142,45,8,89,578,9805
408,Semi Ojeleye,2016,2017,35,1195,210,431,137,259,73,172,172,219,80,160,240,53,15,14,50,665,12132
409,Seth Curry,2008,2013,70,2407,440,1007,243,496,197,511,242,295,44,198,242,133,78,15,121,1319,9968
410,Shabazz Muhammad,2012,2013,32,987,202,456,162,350,40,106,128,180,87,80,167,27,23,4,51,572,11961
411,Shabazz Napier,2013,2014,40,1404,213,496,126,281,87,215,207,238,38,196,234,195,73,13,114,720,12012
412,Shane Battier,2000,2001,39,1363,251,533,127,237,124,296,152,191,94,191,285,72,82,88,60,778,9337
413,Shannon Brown,2005,2006,34,1196,202,433,138,269,64,164,117,141,38,112,150,93,50,5,85,585,9616
414,Shawn Long,2013,2016,102,2992,676,1279,597,1057,79,222,400,595,361,749,1110,116,69,208,242,1831,11537
415,Shelden Williams,2005,2006,36,1198,237,410,235,404,2,6,201,270,117,267,384,39,60,137,89,677,13516
416,Shelvin Mack,2010,2011,38,1219,201,493,114,247,87,246,120,156,27,143,170,131,30,3,93,609,11585
417,Sherron Collins,2008,2010,71,2416,411,955,264,561,147,394,250,304,27,149,176,335,78,2,200,1219,9852
418,Sindarius Thornwell,2016,2017,31,1051,195,439,137,291,58,148,215,259,77,144,221,86,66,30,76,663,13121
419,Stephen Curry,2006,2009,104,3387,871,1866,457,862,414,1004,479,547,81,392,473,388,221,28,314,2635,9969
420,Steve Burtt,2004,2006,62,2234,444,1016,268,579,176,437,313,376,33,194,227,151,60,4,176,1377,9670
421,Steve Novak,2005,2006,31,1047,173,363,52,104,121,259,74,76,34,149,183,39,18,4,32,541,12087
422,Steven Smith,2004,2006,57,2162,414,909,354,716,60,193,251,317,144,322,466,129,79,46,222,1139,12881
423,T.J. Warren,2013,2014,35,1238,342,652,311,536,31,116,156,226,113,137,250,40,63,21,83,871,13324
424,Tamar Slay,2001,2002,30,1031,196,439,116,248,80,191,95,130,38,123,161,72,49,16,89,567,12819
425,Tarence Kinsey,2005,2006,38,1321,209,461,138,272,71,189,113,134,54,120,174,88,61,13,78,602,11316
426,Tayshaun Prince,2000,2002,66,2184,413,859,284,489,129,370,180,233,123,300,423,151,58,80,122,1135,12371
427,Terrence Jones,2010,2011,38,1196,206,466,180,387,26,79,157,243,92,244,336,60,43,72,75,595,11206
428,Terrence Ross,2011,2012,35,1088,215,470,143,276,72,194,72,94,48,177,225,49,44,33,70,574,12580
429,Terry Rozier,2014,2015,36,1260,214,521,166,364,48,157,139,176,43,157,200,108,72,6,79,615,12597
430,Theron Smith,2001,2002,35,1156,233,454,188,335,45,119,176,237,120,261,381,48,39,22,93,687,12883
431,Thomas Gardner,2005,2006,28,957,186,434,92,197,94,237,85,118,31,59,90,45,27,0,92,551,10461
432,Thomas Robinson,2011,2012,39,1242,261,517,254,503,7,14,163,239,113,350,463,72,42,34,104,692,12541
433,Tierre Brown,2000,2001,31,1064,213,518,162,366,51,152,146,184,64,113,177,111,57,5,98,623,9619
434,Tim Frazier,2011,2012,32,1188,208,497,181,411,27,86,159,201,44,106,150,198,76,7,117,602,10410
435,Tim Hardaway,2012,2013,38,1324,201,460,128,265,73,195,77,111,9,168,177,93,26,17,71,552,10726
436,Tim Hardaway,2012,2013,38,1324,201,460,128,265,73,195,77,111,9,168,177,93,26,17,71,552,10727
437,Tim Kempton,2016,2017,32,1012,231,422,208,366,23,56,168,221,62,271,333,36,29,41,99,653,11267
438,Toney Douglas,2008,2009,35,1279,239,536,154,315,85,221,188,232,28,109,137,102,63,15,87,751,10141
439,Tony Allen,2003,2004,35,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,561,9160
440,Tony Mitchell,2010,2011,37,1167,228,437,197,339,31,98,77,117,97,164,261,49,59,41,64,564,11887
441,Tony Mitchell,2010,2011,37,1167,228,437,197,339,31,98,77,117,97,164,261,49,59,41,64,564,11888
442,Tony Wroten,2011,2012,35,1062,198,447,189,391,9,56,154,264,80,96,176,130,66,13,132,559,13610
443,Torrey Craig,2011,2014,101,3145,592,1400,363,715,229,685,284,424,209,519,728,192,109,90,264,1697,9922
444,Travis Diener,2003,2004,31,1060,179,424,89,224,90,200,136,154,21,76,97,187,41,0,74,584,10100
445,Travis Hansen,2002,2003,32,1025,169,383,133,277,36,106,163,204,53,99,152,77,29,20,84,537,10721
446,Trenton Hassell,2000,2001,32,1213,246,507,193,371,53,136,148,186,82,167,249,144,39,15,121,693,10778
447,Treveon Graham,2012,2014,71,1984,371,836,261,522,110,314,245,344,168,286,454,126,64,11,119,1097,10572
448,Trey Burke,2012,2013,39,1378,259,560,183,362,76,198,133,166,21,103,124,260,62,20,86,727,9654
449,Trey Gilder,2007,2008,33,887,189,394,172,324,17,70,147,192,76,128,204,63,39,22,89,542,10515
450,Trey Johnson,2005,2007,67,2437,566,1312,420,923,146,389,420,563,98,215,313,163,78,5,213,1698,11149
451,Trey Thompkins,2009,2010,31,962,207,429,184,368,23,61,112,147,65,193,258,60,30,36,91,549,13095
452,Tristan Thompson,2010,2011,33,1056,158,344,92,186,66,158,211,253,16,89,105,59,24,4,74,593,13114
453,Troy Bell,2000,2003,95,3492,617,1421,376,762,241,659,649,753,171,239,410,371,225,27,249,2124,9379
454,Troy Murphy,2000,2001,30,1090,223,473,193,387,30,86,177,231,94,183,277,62,27,50,90,653,11982
455,Ty Lawson,2008,2009,35,1048,182,342,131,234,51,108,166,208,23,81,104,230,75,5,66,581,11446
456,Tyler Cavanaugh,2015,2017,73,2283,409,860,289,569,120,291,340,406,163,420,583,117,40,24,172,1278,9766
457,Tyler Dorsey,2016,2017,39,1169,189,405,101,197,88,208,105,139,33,102,135,67,30,4,59,571,10134
458,Tyler Hansbrough,2005,2009,142,4394,939,1752,927,1714,12,38,982,1241,482,737,1219,154,180,66,297,2872,10717
459,Tyler Johnson,2013,2014,35,1177,196,409,139,277,57,132,107,133,56,200,256,103,36,13,47,556,11150
460,Tyler Ulis,2015,2016,35,1288,192,442,137,282,55,160,167,195,19,86,105,246,51,4,69,606,13206
461,Tyler Zeller,2010,2012,75,2111,431,782,431,782,0,0,342,436,253,380,633,59,61,103,123,1204,13638
462,Tyreke Evans,2008,2009,37,1072,230,505,196,381,34,124,138,194,47,151,198,143,77,29,133,632,10289
463,Tyshawn Taylor,2011,2012,39,1303,226,474,168,322,58,152,137,199,8,83,91,186,52,6,138,647,13049
464,Vincent Yarbrough,2001,2002,31,1097,194,457,134,290,60,167,112,163,70,164,234,87,58,25,93,560,13614
465,Wayne Ellington,2007,2009,77,2369,452,952,289,553,163,399,182,227,98,262,360,179,80,13,128,1249,10240
466,Wayne Simien,2003,2004,32,1045,200,376,198,365,2,11,167,206,98,199,297,39,28,30,71,569,12782
467,Wesley Matthews,2008,2009,35,1191,193,406,151,292,42,114,213,257,46,155,201,86,43,18,82,641,11678
468,Wesley Person,2016,2018,70,2283,338,794,147,303,191,491,263,321,41,151,192,117,45,3,110,1130,12276
469,Will Barton,2011,2012,35,1236,230,452,193,345,37,107,134,179,70,209,279,102,50,25,75,631,9326
470,Will Solomon,2000,2001,30,998,183,461,88,209,95,252,130,165,17,69,86,102,42,9,123,591,12899
471,Willie Green,2002,2003,30,1021,244,498,207,399,37,99,153,190,32,116,148,75,40,13,68,678,10623
472,Xavier Munford,2013,2014,32,1139,184,458,122,268,62,190,111,157,20,108,128,78,36,13,88,541,11968
473,Xavier Silas,2010,2011,26,831,178,388,126,262,52,126,171,201,21,98,119,48,31,7,103,579,12779
474,Yogi Ferrell,2013,2016,101,3484,546,1249,297,644,249,605,373,446,64,274,338,486,86,3,237,1714,10333
475,Zabian Dowdell,2006,2007,34,1148,197,426,153,312,44,114,154,191,27,95,122,106,71,7,67,592,10145
