player_id,age,year,team,position_played,minutes_played,points_scored,two_points_scored,three_points_scored,free_throws_made,assists,steals,blocks,turnovers,field_goal_percentage
25552,24,1983,MIL,SG,1528,532,212,1,0.0,207,99,47,162,0.457
25552,25,1984,MIL,SG,1730,674,274,2,0.0,252,86,50,157,0.523
25552,26,1985,MIL,SF,2876,1284,473,7,0.0,543,129,56,247,0.517
25552,27,1986,MIL,SF,2704,1146,403,8,0.0,623,168,71,240,0.488
25552,28,1987,MIL,SF,2057,846,278,16,1.0,441,110,47,186,0.47700000000000004
25552,29,1988,MIL,SG,2484,983,337,8,1.0,523,112,34,198,0.491
25552,30,1989,MIL,SG,2170,813,295,12,0.0,439,119,44,184,0.474
25552,31,1990,MIL,SG,1400,628,233,6,0.0,244,71,23,109,0.47200000000000003
25552,32,1991,SAS,SG,1683,528,185,16,0.0,271,63,32,130,0.47200000000000003
25552,33,1992,SAS,SG,759,151,57,3,0.0,142,29,19,64,0.373
25552,34,1993,GSW,SG,268,79,29,0,0.0,30,11,5,23,0.439
25657,22,1983,SAS,SG,147,101,34,1,0.0,21,4,2,13,0.361
25700,22,1983,DET,PG,757,183,65,2,0.0,131,16,1,92,0.364
25700,23,1984,DET,PG,119,41,13,1,0.0,22,4,0,9,0.33299999999999996
