year,round,pick,player,position,school,last name,first name
1991,1,1,Larry Johnson,PF,UNLV,Johnson,Larry
1991,1,2,Kenny Anderson,PG,Georgia Tech,Anderson,Kenny
1991,1,3,Billy Owens,SF,Syracuse,Owens,Billy
1991,1,4,Dikembe Mutombo,C,Georgetown,Mutombo,Dikembe
1991,1,5,Steve Smith,SG,Michigan State,Smith,Steve
1991,1,6,Doug Smith,PF,Missouri,Smith,Doug
1991,1,7,Luc Longley,C,New Mexico,Longley,Luc
1991,1,8,Mark Macon,SG,Temple,Macon,Mark
1991,1,9,Stacey Augmon,SG/SF,UNLV,Augmon,Stacey
1991,1,10,Brian Williams,PF/C,Arizona,Williams,Brian
1991,1,11,Terrell Brandon,PG,Oregon,Brandon,Terrell
1991,1,12,Greg Anthony,PG,UNLV,Anthony,Greg
1991,1,13,Dale Davis,PF,Clemson,Davis,Dale
1991,1,14,Rich King,C,Nebraska,King,Rich
1991,1,15,Anthony Avent,PF,Seton Hall,Avent,Anthony
1991,1,16,Chris Gatling,PF,Old Dominion,Gatling,Chris
1991,1,17,Victor Alexander,C,Iowa State,Alexander,Victor
1991,1,18,Kevin Brooks,SF,Southwestern Louisiana,Brooks,Kevin
1991,1,19,LaBradford Smith,SG,Louisville,Smith,LaBradford
1991,1,20,John Turner,PF,Phillips,Turner,John
1991,1,21,Eric Murdock,PG,Providence,Murdock,Eric
1991,1,22,LeRon Ellis,PF,Syracuse,Ellis,LeRon
1991,1,23,Stanley Roberts,C,Real Madrid,Roberts,Stanley
1991,1,24,Rick Fox,SF,North Carolina,Fox,Rick
1991,1,25,Shaun Vandiver,PF,Colorado,Vandiver,Shaun
1991,1,26,Mark Randall,PF,Kansas,Randall,Mark
1991,1,27,Pete Chilcutt,PF,North Carolina,Chilcutt,Pete
1991,2,28,Kevin Lynch,G/F,Minnesota,Lynch,Kevin
1991,2,29,George Ackles,C/PF,UNLV,Ackles,George
1991,2,30,Rodney Monroe,G/F,NC State,Monroe,Rodney
1991,2,31,Randy Brown,PG,New Mexico State,Brown,Randy
1991,2,32,Chad Gallagher,C,Creighton,Gallagher,Chad
1991,2,33,Donald Hodge,C,Temple,Hodge,Donald
1991,2,34,Myron Brown,G,Slippery Rock,Brown,Myron
1991,2,35,Mike Iuzzolino,G,Saint Francis (PA),Iuzzolino,Mike
1991,2,36,Chris Corchiani,G,NC State,Corchiani,Chris
1991,2,37,Elliot Perry,PG,Memphis State,Perry,Elliot
1991,2,38,Joe Wylie,PF,Miami (FL),Wylie,Joe
1991,2,39,Jimmy Oliver,G/F,Purdue,Oliver,Jimmy
1991,2,40,Doug Overton,PG,La Salle,Overton,Doug
1991,2,41,Sean Green,F/G,Iona,Green,Sean
1991,2,42,Steve Hood,SF,James Madison,Hood,Steve
1991,2,43,Lamont Strothers,G,Christopher Newport,Strothers,Lamont
1991,2,44,Ãlvaro TeherÃ¡n,C,Houston,TeherÃ¡n,Ãlvaro
1991,2,45,Bobby Phills,SG,Southern,Phills,Bobby
1991,2,46,Richard Dumas,F,Hapoel Holon,Dumas,Richard
1991,2,47,Keith Hughes,PF,Rutgers,Hughes,Keith
1991,2,48,Isaac Austin,C,Arizona State,Austin,Isaac
1991,2,49,Greg Sutton,G,Oral Roberts,Sutton,Greg
1991,2,50,Joey Wright,SG,Texas,Wright,Joey
1991,2,51,Å½an Tabak,C,KK Split,Tabak,Å½an
1991,2,52,Anthony Jones,SF,Oral Roberts,Jones,Anthony
1991,2,53,Von McDade,SG,Milwaukee,McDade,Von
1991,2,54,Marcus Kennedy,PF,Eastern Michigan,Kennedy,Marcus
1993,1,1,Chris Webber,PF/C,Michigan,Webber,Chris
1993,1,2,Shawn Bradley,C,BYU,Bradley,Shawn
1993,1,3,Penny Hardaway,PG/SG,Memphis State,Hardaway,Penny
1993,1,4,Jamal Mashburn,SF,Kentucky,Mashburn,Jamal
1993,1,5,Isaiah Rider,SG,UNLV,Rider,Isaiah
1993,1,6,Calbert Cheaney,SG/SF,Indiana,Cheaney,Calbert
1993,1,7,Bobby Hurley,PG,Duke,Hurley,Bobby
1993,1,8,Vin Baker,PF,Hartford,Baker,Vin
1993,1,9,Rodney Rogers,PF,Wake Forest,Rogers,Rodney
1993,1,10,Lindsey Hunter,PG,Jackson State,Hunter,Lindsey
1993,1,11,Allan Houston,SG,Tennessee,Houston,Allan
1993,1,12,George Lynch,SF,North Carolina,Lynch,George
1993,1,13,Terry Dehere,SG,Seton Hall,Dehere,Terry
1993,1,14,Scott Haskin,PF,Oregon State,Haskin,Scott
1993,1,15,Doug Edwards,SF,Florida State,Edwards,Doug
1993,1,16,Rex Walters,SG,Kansas,Walters,Rex
1993,1,17,Greg Graham,SG,Indiana,Graham,Greg
1993,1,18,Luther Wright,C,Seton Hall,Wright,Luther
1993,1,19,Acie Earl,C,Iowa,Earl,Acie
1993,1,20,Scott Burrell,SF,Connecticut,Burrell,Scott
1993,1,21,James Robinson,SG,Alabama,Robinson,James
1993,1,22,Chris Mills,SF,Arizona,Mills,Chris
1993,1,23,Ervin Johnson,C,New Orleans,Johnson,Ervin
1993,1,24,Sam Cassell,PG,Florida State,Cassell,Sam
1993,1,25,Corie Blount,PF,Cincinnati,Blount,Corie
1993,1,26,Geert Hammink,C,LSU,Hammink,Geert
1993,1,27,Malcolm Mackey,PF,Georgia Tech,Mackey,Malcolm
1993,2,28,Lucious Harris,PG,Long Beach State,Harris,Lucious
1993,2,29,Sherron Mills,F/C,VCU,Mills,Sherron
1993,2,30,Gheorghe MureÈ™an,C,Pau-Orthez,MureÈ™an,Gheorghe
1993,2,31,Evers Burns,F,Maryland,Burns,Evers
1993,2,32,Alphonso Ford,SG,Mississippi Valley State,Ford,Alphonso
1993,2,33,Eric Riley,C,Michigan,Riley,Eric
1993,2,34,Darnell Mee,SG,Western Kentucky,Mee,Darnell
1993,2,35,Ed Stokes,C,Arizona,Stokes,Ed
1993,2,36,John Best,F/C,Tennessee Tech,Best,John
1993,2,37,Nick Van Exel,PG,Cincinnati,Van Exel,Nick
1993,2,38,Conrad McRae,PF,Syracuse,McRae,Conrad
1993,2,39,Thomas Hill,SG/SF,Duke,Hill,Thomas
1993,2,40,Rich Manning,C,Washington,Manning,Rich
1993,2,41,Anthony Reed,F,Tulane,Reed,Anthony
1993,2,42,Adonis Jordan,PG,Kansas,Jordan,Adonis
1993,2,43,Josh Grant,PF,Utah,Grant,Josh
1993,2,44,Alex Holcombe,C,Baylor,Holcombe,Alex
1993,2,45,Bryon Russell,SF,Long Beach State,Russell,Bryon
1993,2,46,Richard PetruÅ¡ka,C,UCLA,PetruÅ¡ka,Richard
1993,2,47,Chris Whitney,PG,Clemson,Whitney,Chris
1993,2,48,Kevin Thompson,C,NC State,Thompson,Kevin
1993,2,49,Mark Buford,C,Mississippi Valley State,Buford,Mark
1993,2,50,Marcelo Nicola,PF,Taugres,Nicola,Marcelo
1993,2,51,Spencer Dunkley,C,Delaware,Dunkley,Spencer
1993,2,52,Mike Peplowski,C,Michigan State,Peplowski,Mike
1993,2,53,Leonard White,F,Southern,White,Leonard
1993,2,54,Byron Wilson,SG/SF,Utah,Wilson,Byron
1994,1,1,Glenn Robinson,SF,Purdue,Robinson,Glenn
1994,1,2,Jason Kidd,PG,California,Kidd,Jason
1994,1,3,Grant Hill,SF,Duke,Hill,Grant
1994,1,4,Donyell Marshall,SF,Connecticut,Marshall,Donyell
1994,1,5,Juwan Howard,PF,Michigan,Howard,Juwan
1994,1,6,Sharone Wright,PF/C,Clemson,Wright,Sharone
1994,1,7,Lamond Murray,SF,California,Murray,Lamond
1994,1,8,Brian Grant,PF,Xavier,Grant,Brian
1994,1,9,Eric Montross,C,North Carolina,Montross,Eric
1994,1,10,Eddie Jones,SG,Temple,Jones,Eddie
1994,1,11,Carlos Rogers,SF,Tennessee State,Rogers,Carlos
1994,1,12,Khalid Reeves,PG,Arizona,Reeves,Khalid
1994,1,13,Jalen Rose,G/F,Michigan,Rose,Jalen
1994,1,14,Yinka Dare,C,George Washington,Dare,Yinka
1994,1,15,Eric Piatkowski,SG,Nebraska,Piatkowski,Eric
1994,1,16,Clifford Rozier,PF,Louisville,Rozier,Clifford
1994,1,17,Aaron McKie,SG,Temple,McKie,Aaron
1994,1,18,Eric Mobley,PF,Pittsburgh,Mobley,Eric
1994,1,19,Tony Dumas,SG,UMKC,Dumas,Tony
1994,1,20,B.J. Tyler,PG,Texas,Tyler,B.J.
1994,1,21,Dickey Simpkins,PF,Providence,Simpkins,Dickey
1994,1,22,Bill Curley,PF,Boston College,Curley,Bill
1994,1,23,Wesley Person,SG,Auburn,Person,Wesley
1994,1,24,Monty Williams,SF,Notre Dame,Williams,Monty
1994,1,25,Greg Minor,SG,Louisville,Minor,Greg
1994,1,26,Charlie Ward,PG,Florida State,Ward,Charlie
1994,1,27,Brooks Thompson,PG,Oklahoma State,Thompson,Brooks
1994,2,28,Deon Thomas,F/C,Illinois,Thomas,Deon
1994,2,29,Antonio Lang,F/G,Duke,Lang,Antonio
1994,2,30,Howard Eisley,PG,Boston College,Eisley,Howard
1994,2,31,Rodney Dent,F/C,Kentucky,Dent,Rodney
1994,2,32,Jim McIlvaine,C,Marquette,McIlvaine,Jim
1994,2,33,Derrick Alston,F,Duquesne,Alston,Derrick
1994,2,34,Gaylon Nickerson,G,Northwestern Oklahoma State,Nickerson,Gaylon
1994,2,35,Michael Smith,F,Providence,Smith,Michael
1994,2,36,Andrei Fetisov,F,Forum Valladolid,Fetisov,Andrei
1994,2,37,Dontonio Wingfield,F,Cincinnati,Wingfield,Dontonio
1994,2,38,Darrin Hancock,G/F,Kansas,Hancock,Darrin
1994,2,39,Anthony Miller,F,Michigan State,Miller,Anthony
1994,2,40,Jeff Webster,F,Oklahoma,Webster,Jeff
1994,2,41,William Njoku,PF,St. Mary's (Canada),Njoku,William
1994,2,42,Gary Collier,SF,Tulsa,Collier,Gary
1994,2,43,Shawnelle Scott,C,St. John's,Scott,Shawnelle
1994,2,44,Damon Bailey,G,Indiana,Bailey,Damon
1994,2,45,Dwayne Morton,F,Louisville,Morton,Dwayne
1994,2,46,Voshon Lenard,SG,Minnesota,Lenard,Voshon
1994,2,47,Jamie Watson,F,South Carolina,Watson,Jamie
1994,2,48,Jevon Crudup,F/C,Missouri,Crudup,Jevon
1994,2,49,Kris Bruton,SF,Benedict,Bruton,Kris
1994,2,50,Charles Claxton,C,Georgia,Claxton,Charles
1994,2,51,Lawrence Funderburke,PF,Ohio State,Funderburke,Lawrence
1994,2,52,Anthony Goldwire,PG,Houston,Goldwire,Anthony
1994,2,53,Albert Burditt,PF,Texas,Burditt,Albert
1994,2,54,Å½eljko RebraÄa,C,KK Partizan,RebraÄa,Å½eljko
1995,1,1,Joe Smith,PF,Maryland,Smith,Joe
1995,1,2,Antonio McDyess,PF,Alabama,McDyess,Antonio
1995,1,3,Jerry Stackhouse,SG,North Carolina,Stackhouse,Jerry
1995,1,4,Rasheed Wallace,PF,North Carolina,Wallace,Rasheed
1995,1,5,Kevin Garnett,PF,Farragut Academy HS,Garnett,Kevin
1995,1,6,Bryant Reeves,C,Oklahoma State,Reeves,Bryant
1995,1,7,Damon Stoudamire,PG,Arizona,Stoudamire,Damon
1995,1,8,Shawn Respert,SG,Michigan State,Respert,Shawn
1995,1,9,Ed O'Bannon,SF,UCLA,O'Bannon,Ed
1995,1,10,Kurt Thomas,PF/C,TCU,Thomas,Kurt
1995,1,11,Gary Trent,PF,Ohio,Trent,Gary
1995,1,12,Cherokee Parks,C,Duke,Parks,Cherokee
1995,1,13,Corliss Williamson,PF,Arkansas,Williamson,Corliss
1995,1,14,Eric Williams,SF,Providence,Williams,Eric
1995,1,15,Brent Barry,SG,Oregon State,Barry,Brent
1995,1,16,Alan Henderson,PF,Indiana,Henderson,Alan
1995,1,17,Bob Sura,SG,Florida State,Sura,Bob
1995,1,18,Theo Ratliff,PF/C,Wyoming,Ratliff,Theo
1995,1,19,Randolph Childress,PG,Wake Forest,Childress,Randolph
1995,1,20,Jason Caffey,PF,Alabama,Caffey,Jason
1995,1,21,Michael Finley,SF/SG,Wisconsin,Finley,Michael
1995,1,22,George Zidek,C,UCLA,Zidek,George
1995,1,23,Travis Best,PG,Georgia Tech,Best,Travis
1995,1,24,Loren Meyer,PF,Iowa State,Meyer,Loren
1995,1,25,David Vaughn,PF/C,Memphis,Vaughn,David
1995,1,26,Sherell Ford,PF,UIC,Ford,Sherell
1995,1,27,Mario Bennett,PF,Arizona State,Bennett,Mario
1995,1,28,Greg Ostertag,C,Kansas,Ostertag,Greg
1995,1,29,Cory Alexander,PG,Virginia,Alexander,Cory
1995,2,30,Lou Roe,F,UMass,Roe,Lou
1995,2,31,Dragan TarlaÄ‡,C,Olympiakos,TarlaÄ‡,Dragan
1995,2,32,Terrence Rencher,G,Texas,Rencher,Terrence
1995,2,33,Junior Burrough,F,Virginia,Burrough,Junior
1995,2,34,Andrew DeClercq,PF/C,Florida,DeClercq,Andrew
1995,2,35,Jimmy King,G,Michigan,King,Jimmy
1995,2,36,Lawrence Moten,G,Syracuse,Moten,Lawrence
1995,2,37,Frankie King,G,Western Carolina,King,Frankie
1995,2,38,Rashard Griffith,C,Wisconsin,Griffith,Rashard
1995,2,39,Donny Marshall,F,Connecticut,Marshall,Donny
1995,2,40,Dwayne Whitfield,F,Jackson State,Whitfield,Dwayne
1995,2,41,Erik Meek,C,Duke,Meek,Erik
1995,2,42,Donnie Boyce,G,Colorado,Boyce,Donnie
1995,2,43,Eric Snow,PG,Michigan State,Snow,Eric
1995,2,44,Anthony Pelle,C,Fresno State,Pelle,Anthony
1995,2,45,Troy Brown,F/C,Providence,Brown,Troy
1995,2,46,George Banks,F,UTEP,Banks,George
1995,2,47,Tyus Edney,PG,UCLA,Edney,Tyus
1995,2,48,Mark Davis,G/F,Texas Tech,Davis,Mark
1995,2,49,Jerome Allen,G,Pennsylvania,Allen,Jerome
1995,2,50,Martin Lewis,F,Seward County,Lewis,Martin
1995,2,51,Dejan Bodiroga,SF,Olimpia (Stefanel) Milano,Bodiroga,Dejan
1995,2,52,Fred Hoiberg,SG,Iowa State,Hoiberg,Fred
1995,2,53,Constantin Popa,C,Miami (Florida),Popa,Constantin
1995,2,54,Eurelijus Zukauskas,C,NeptÅ«nas KlaipÄ—da,Zukauskas,Eurelijus
1995,2,55,Michael McDonald,C,New Orleans,McDonald,Michael
1995,2,56,Chris Carr,G,Southern Illinois,Carr,Chris
1995,2,57,Cuonzo Martin,G/F,Purdue,Martin,Cuonzo
1995,2,58,Don Reid,F,Georgetown,Reid,Don
1996,1,1,Allen Iverson,G,Georgetown,Iverson,Allen
1996,1,2,Marcus Camby,C,Massachusetts,Camby,Marcus
1996,1,3,Shareef Abdur-Rahim,F,California,Abdur-Rahim,Shareef
1996,1,4,Stephon Marbury,G,Georgia Tech,Marbury,Stephon
1996,1,5,Ray Allen,G,Connecticut,Allen,Ray
1996,1,6,Antoine Walker,F,Kentucky,Walker,Antoine
1996,1,7,Lorenzen Wright,C,Memphis,Wright,Lorenzen
1996,1,8,Kerry Kittles,G,Villanova,Kittles,Kerry
1996,1,9,Samaki Walker,F,Louisville,Walker,Samaki
1996,1,10,Erick Dampier,C,Mississippi State,Dampier,Erick
1996,1,11,Todd Fuller,C,NC State,Fuller,Todd
1996,1,12,Vitaly Potapenko,C,Wright State,Potapenko,Vitaly
1996,1,13,Kobe Bryant,G,Lower Merion HS,Bryant,Kobe
1996,1,14,Peja StojakoviÄ‡,F,PAOK,StojakoviÄ‡,Peja
1996,1,15,Steve Nash,G,Santa Clara,Nash,Steve
1996,1,16,Tony Delk,G,Kentucky,Delk,Tony
1996,1,17,Jermaine O'Neal,F/C,Eau Claire HS ,O'Neal,Jermaine
1996,1,18,John Wallace,F,Syracuse,Wallace,John
1996,1,19,Walter McCarty,F,Kentucky,McCarty,Walter
1996,1,20,Å½ydrÅ«nas Ilgauskas,C,Atletas Kaunas,Ilgauskas,Å½ydrÅ«nas
1996,1,21,Dontae Jones,F,Mississippi State,Jones,Dontae
1996,1,22,Roy Rogers,F,Alabama,Rogers,Roy
1996,1,23,Efthimios Rentzias,C,PAOK,Rentzias,Efthimios
1996,1,24,Derek Fisher,G,Arkansas-Little Rock,Fisher,Derek
1996,1,25,Martin MÃ¼Ã¼rsepp,F,Tallinna Kalev,MÃ¼Ã¼rsepp,Martin
1996,1,26,Jerome Williams,F,Georgetown,Williams,Jerome
1996,1,27,Brian Evans,F,Indiana,Evans,Brian
1996,1,28,Priest Lauderdale,C,Peristeri,Lauderdale,Priest
1996,1,29,Travis Knight,C,Connecticut,Knight,Travis
1996,2,30,Othella Harrington,F/C,Georgetown,Harrington,Othella
1996,2,31,Mark Hendrickson,G,Washington State,Hendrickson,Mark
1996,2,32,Ryan Minor,G,Oklahoma,Minor,Ryan
1996,2,33,Moochie Norris,G,West Florida,Norris,Moochie
1996,2,34,Shawn Harvey,G,West Virginia State,Harvey,Shawn
1996,2,35,Joseph Blair,C,Arizona,Blair,Joseph
1996,2,36,Doron Sheffer,G,Connecticut,Sheffer,Doron
1996,2,37,Jeff McInnis,G,North Carolina,McInnis,Jeff
1996,2,38,Steve Hamer,C,Tennessee,Hamer,Steve
1996,2,39,Russ Millard,F,Iowa,Millard,Russ
1996,2,40,Marcus Mann,F,Mississippi Valley State,Mann,Marcus
1996,2,41,Jason Sasser,F,Texas Tech,Sasser,Jason
1996,2,42,Randy Livingston,G,LSU,Livingston,Randy
1996,2,43,Ben Davis,F,Arizona,Davis,Ben
1996,2,44,Malik Rose,F,Drexel,Rose,Malik
1996,2,45,Joe Vogel,C,Colorado State,Vogel,Joe
1996,2,46,Marcus Brown,G,Murray State,Brown,Marcus
1996,2,47,Ron Riley,G/F,Arizona State,Riley,Ron
1996,2,48,Jamie Feick,F,Michigan State,Feick,Jamie
1996,2,49,Amal McCaskill,C,Marquette,McCaskill,Amal
1996,2,50,Terrell Bell,C,Georgia,Bell,Terrell
1996,2,51,Chris Robinson,G,Western Kentucky,Robinson,Chris
1996,2,52,Mark Pope,F,Kentucky,Pope,Mark
1996,2,53,Jeff Nordgaard,F,Wisconsin Green Bay,Nordgaard,Jeff
1996,2,54,Shandon Anderson,F,Georgia,Anderson,Shandon
1996,2,55,Ronnie Henderson,G,LSU,Henderson,Ronnie
1996,2,56,Reggie Geary,G,Arizona,Geary,Reggie
1996,2,57,Drew Barry,G,Georgia Tech,Barry,Drew
1996,2,58,Darnell Robinson,F,Arkansas,Robinson,Darnell
1997,1,1,Tim Duncan,PF/C,Wake Forest,Duncan,Tim
1997,1,2,Keith Van Horn,PF,Utah,Van Horn,Keith
1997,1,3,Chauncey Billups,PG,Colorado,Billups,Chauncey
1997,1,4,Antonio Daniels,PG,Bowling Green,Daniels,Antonio
1997,1,5,Tony Battie,C/F,Texas Tech,Battie,Tony
1997,1,6,Ron Mercer,SF,Kentucky,Mercer,Ron
1997,1,7,Tim Thomas,SF,Villanova,Thomas,Tim
1997,1,8,Adonal Foyle,C,Colgate,Foyle,Adonal
1997,1,9,Tracy McGrady,SG/SF,Mt. Zion Christian Academy,McGrady,Tracy
1997,1,10,Danny Fortson,PF,Cincinnati,Fortson,Danny
1997,1,11,Tariq Abdul-Wahad,SF,San Jose State,Abdul-Wahad,Tariq
1997,1,12,Austin Croshere,PF,Providence,Croshere,Austin
1997,1,13,Derek Anderson,SG,Kentucky,Anderson,Derek
1997,1,14,Maurice Taylor,PF,Michigan,Taylor,Maurice
1997,1,15,Kelvin Cato,C,Iowa State,Cato,Kelvin
1997,1,16,Brevin Knight,PG,Stanford,Knight,Brevin
1997,1,17,Johnny Taylor,PF,Chattanooga,Taylor,Johnny
1997,1,18,Chris Anstey,PF,SE Melbourne Magic,Anstey,Chris
1997,1,19,Scot Pollard,C,Kansas,Pollard,Scot
1997,1,20,Paul Grant,C,Wisconsin,Grant,Paul
1997,1,21,Anthony Parker,SG,Bradley,Parker,Anthony
1997,1,22,Ed Gray,PG/SG,California,Gray,Ed
1997,1,23,Bobby Jackson,PG,Minnesota,Jackson,Bobby
1997,1,24,Rodrick Rhodes,SG,USC,Rhodes,Rodrick
1997,1,25,John Thomas,C,Minnesota,Thomas,John
1997,1,26,Charles Smith,SG,New Mexico,Smith,Charles
1997,1,27,Jacque Vaughn,PG,Kansas,Vaughn,Jacque
1997,1,28,Keith Booth,SF,Maryland,Booth,Keith
1997,2,29,Serge Zwikker,C,North Carolina,Zwikker,Serge
1997,2,30,Mark Sanford,SF/PF,Washington,Sanford,Mark
1997,2,31,Charles O'Bannon,PG,UCLA,O'Bannon,Charles
1997,2,32,James Cotton,SF,Long Beach State,Cotton,James
1997,2,33,Marko MiliÄ,PG/SG,Smelt Olimpija,MiliÄ,Marko
1997,2,34,Bubba Wells,SF/PF,Austin Peay,Wells,Bubba
1997,2,35,Kebu Stewart,SF/PF,Cal State Bakersfield,Stewart,Kebu
1997,2,36,James Collins,PG/SG,Florida State,Collins,James
1997,2,37,Marc Jackson,SF/PF,Temple,Jackson,Marc
1997,2,38,Jerald Honeycutt,PF,Tulane,Honeycutt,Jerald
1997,2,39,Anthony Johnson,PG/SG,College of Charleston,Johnson,Anthony
1997,2,40,Ed Elisma,SF,Georgia Tech,Elisma,Ed
1997,2,41,Jason Lawson,C,Villanova,Lawson,Jason
1997,2,42,Stephen Jackson,SG,Butler CC,Jackson,Stephen
1997,2,43,Gordon Malone,SF,West Virginia,Malone,Gordon
1997,2,44,Cedric Henderson,PF,Memphis,Henderson,Cedric
1997,2,45,God Shammgod,PG,Providence,Shammgod,God
1997,2,46,Eric Washington,SG,Alabama,Washington,Eric
1997,2,47,Alvin Williams,PG,Villanova,Williams,Alvin
1997,2,48,Predrag Drobnjak,C,KK Partizan,Drobnjak,Predrag
1997,2,49,Alain Digbeu,SG,ASVEL Lyon-Villeurbanne,Digbeu,Alain
1997,2,50,Chris Crawford,SF,Marquette,Crawford,Chris
1997,2,51,DeJuan Wheat,PG,Louisville,Wheat,DeJuan
1997,2,52,C.J. Bruton,PG/SG,Indian Hills CC,Bruton,C.J.
1997,2,53,Paul Rogers,C,Gonzaga,Rogers,Paul
1997,2,54,Mark Blount,C,Pittsburgh,Blount,Mark
1997,2,55,Ben Pepper,C,Newcastle Falcons,Pepper,Ben
1997,2,56,Nate Erdmann,SG,Oklahoma,Erdmann,Nate
1997,2,57,Roberto DueÃ±as,C,FC Barcelona,DueÃ±as,Roberto
1998,1,1,Michael Olowokandi,C,Pacific,Olowokandi,Michael
1998,1,2,Mike Bibby,PG,Arizona,Bibby,Mike
1998,1,3,Raef LaFrentz,C/F,Kansas,LaFrentz,Raef
1998,1,4,Antawn Jamison,F,North Carolina,Jamison,Antawn
1998,1,5,Vince Carter,G/F,North Carolina,Carter,Vince
1998,1,6,Robert Traylor,F/C,Michigan,Traylor,Robert
1998,1,7,Jason Williams,PG,Florida,Williams,Jason
1998,1,8,Larry Hughes,SG,Saint Louis,Hughes,Larry
1998,1,9,Dirk Nowitzki,PF,DJK WÃ¼rzburg,Nowitzki,Dirk
1998,1,10,Paul Pierce,G/F,Kansas,Pierce,Paul
1998,1,11,Bonzi Wells,G/F,Ball State,Wells,Bonzi
1998,1,12,Michael Doleac,C,Utah,Doleac,Michael
1998,1,13,Keon Clark,F/C,UNLV,Clark,Keon
1998,1,14,Michael Dickerson,SG,Arizona,Dickerson,Michael
1998,1,15,Matt Harpring,F/G,Georgia Tech,Harpring,Matt
1998,1,16,Bryce Drew,PG,ValparaÃ­so,Drew,Bryce
1998,1,17,Radoslav NesteroviÄ,C,Kinder Bologna,NesteroviÄ,Radoslav
1998,1,18,Mirsad TÃ¼rkcan,PF,Efes Pilsen,TÃ¼rkcan,Mirsad
1998,1,19,Pat Garrity,PF,Notre Dame,Garrity,Pat
1998,1,20,Roshown McLeod,SF,Duke,McLeod,Roshown
1998,1,21,Ricky Davis,G/F,Iowa,Davis,Ricky
1998,1,22,Brian Skinner,F/C,Baylor,Skinner,Brian
1998,1,23,Tyronn Lue,PG,Nebraska,Lue,Tyronn
1998,1,24,Felipe LÃ³pez,SG,St. John's,LÃ³pez,Felipe
1998,1,25,Al Harrington,F,St. Patrick's High School,Harrington,Al
1998,1,26,Sam Jacobson,SG,Minnesota,Jacobson,Sam
1998,1,27,Vladimir Stepania,C,Olimpija Ljubljana,Stepania,Vladimir
1998,1,28,Corey Benjamin,SG,Oregon State,Benjamin,Corey
1998,1,29,Nazr Mohammed,C/F,Kentucky,Mohammed,Nazr
1998,2,30,Ansu Sesay,SF,Mississippi,Sesay,Ansu
1998,2,31,Ruben Patterson,SF,Cincinnati,Patterson,Ruben
1998,2,32,Rashard Lewis,PF,Alief Elsik HS,Lewis,Rashard
1998,2,33,Jelani McCoy,F/C,UCLA,McCoy,Jelani
1998,2,34,Shammond Williams,PG,North Carolina,Williams,Shammond
1998,2,35,Bruno Å undov,C,Split,Å undov,Bruno
1998,2,36,Jerome James,C,Florida A&M,James,Jerome
1998,2,37,Casey Shaw,C,Toledo,Shaw,Casey
1998,2,38,DeMarco Johnson,PF,Charlotte,Johnson,DeMarco
1998,2,39,Rafer Alston,PG,Fresno State,Alston,Rafer
1998,2,40,Korleone Young,SF,Hargrave Military Academy,Young,Korleone
1998,2,41,Cuttino Mobley,SG,Rhode Island,Mobley,Cuttino
1998,2,42,Miles Simon,SG,Arizona,Simon,Miles
1998,2,43,Jahidi White,F/C,Georgetown,White,Jahidi
1998,2,44,Sean Marks,PF,California,Marks,Sean
1998,2,45,Toby Bailey,SG,UCLA,Bailey,Toby
1998,2,46,Andrae Patterson,SF,Indiana,Patterson,Andrae
1998,2,47,Tyson Wheeler,PG,Rhode Island,Wheeler,Tyson
1998,2,48,Ryan Stack,C,South Carolina,Stack,Ryan
1998,2,49,Cory Carr,SG,Texas Tech,Carr,Cory
1998,2,50,Andrew Betts,C,Long Beach State,Betts,Andrew
1998,2,51,Corey Brewer,PG,Oklahoma,Brewer,Corey
1998,2,52,Derrick Dial,SG,Eastern Michigan,Dial,Derrick
1998,2,53,Greg Buckner,SG,Clemson,Buckner,Greg
1998,2,54,Tremaine Fowlkes,SF,Fresno State,Fowlkes,Tremaine
1998,2,55,Ryan Bowen,SF,Iowa,Bowen,Ryan
1998,2,56,J. R. Henderson,SF,UCLA,Henderson,J. R.
1998,2,57,Torraye Braggs,PF,Xavier,Braggs,Torraye
1998,2,58,Maceo Baston,PF,Michigan,Baston,Maceo
1999,1,1,Elton Brand,PF/C,Duke,Brand,Elton
1999,1,2,Steve Francis,PG,Maryland,Francis,Steve
1999,1,3,Baron Davis,PG,UCLA,Davis,Baron
1999,1,4,Lamar Odom,PF/SF,Rhode Island,Odom,Lamar
1999,1,5,Jonathan Bender,PF,Picayune Memorial HS,Bender,Jonathan
1999,1,6,Wally Szczerbiak,SG/SF,Miami (OH),Szczerbiak,Wally
1999,1,7,Richard Hamilton,SG/SF,Connecticut,Hamilton,Richard
1999,1,8,Andre Miller,PG,Utah,Miller,Andre
1999,1,9,Shawn Marion,SF/PF,UNLV,Marion,Shawn
1999,1,10,Jason Terry,SG/PG,Arizona,Terry,Jason
1999,1,11,Trajan Langdon,SG,Duke,Langdon,Trajan
1999,1,12,Aleksandar RadojeviÄ‡,C,Barton County CC,RadojeviÄ‡,Aleksandar
1999,1,13,Corey Maggette,SF/SG,Duke,Maggette,Corey
1999,1,14,William Avery,PG,Duke,Avery,William
1999,1,15,FrÃ©dÃ©ric Weis,C,Limoges,Weis,FrÃ©dÃ©ric
1999,1,16,Ron Artest,SF,St. John's,Artest,Ron
1999,1,17,Cal Bowdler,PF,Old Dominion,Bowdler,Cal
1999,1,18,James Posey,SG/SF,Xavier,Posey,James
