year,round,pick,player,position,school,last name,first name
1981,2,40,Greg Cook,F,LSU,Cook,Greg
1981,2,41,Claude Gregory,F,Wisconsin,Gregory,Claude
1981,2,42,Elvis Rolle,F/C,Florida State,Rolle,Elvis
1981,2,43,Elston Turner,G/F,Mississippi,Turner,Elston
1981,2,44,Steve Lingenfelter,F,South Dakota State,Lingenfelter,Steve
1981,2,45,Ed Turner,F,Texas A&I,Turner,Ed
1981,2,46,Vernon Smith,F,Texas A&M,Smith,Vernon
1982,1,1,James Worthy,SF,North Carolina,Worthy,James
1982,1,2,Terry Cummings,PF,DePaul,Cummings,Terry
1982,1,3,Dominique Wilkins,SF,Georgia,Wilkins,Dominique
1982,1,4,Bill Garnett,SF,Wyoming,Garnett,Bill
1982,1,5,LaSalle Thompson,C/PF,Texas,Thompson,LaSalle
1982,1,6,Trent Tucker,SG,Minnesota,Tucker,Trent
1982,1,7,Quintin Dailey,SG,San Francisco,Dailey,Quintin
1982,1,8,Clark Kellogg,PF,Ohio State,Kellogg,Clark
1982,1,9,Cliff Levingston,PF,Wichita State,Levingston,Cliff
1982,1,10,Keith Edmonson,SG,Purdue,Edmonson,Keith
1982,1,11,Fat Lever,PG,Arizona State,Lever,Fat
1982,1,12,John Bagley,PG,Boston College,Bagley,John
1982,1,13,Sleepy Floyd,SG,Georgetown,Floyd,Sleepy
1982,1,14,Lester Conner,PG,Oregon State,Conner,Lester
1982,1,15,David Thirdkill,SF,Bradley,Thirdkill,David
1982,1,16,Terry Teagle,SG,Baylor,Teagle,Terry
1982,1,17,Brook Steppe,SG,Georgia Tech,Steppe,Brook
1982,1,18,Ricky Pierce,SF,Rice,Pierce,Ricky
1982,1,19,Rob Williams,PG,Houston,Williams,Rob
1982,1,20,Paul Pressey,SF,Tulsa,Pressey,Paul
1982,1,21,Eddie Phillips,SF,Alabama,Phillips,Eddie
1982,1,22,Mark McNamara,C,California,McNamara,Mark
1982,1,23,Darren Tillis,C,Cleveland State,Tillis,Darren
1982,2,24,Oliver Robinson,SG,UAB,Robinson,Oliver
1982,2,25,Bryan Warrick,SG,Saint Joseph's,Warrick,Bryan
1982,2,26,Ricky Frazier,SF,Missouri,Frazier,Ricky
1982,2,27,Fred Roberts,PF,BYU,Roberts,Fred
1982,2,28,Dave Magley,PF,Kansas,Magley,Dave
1982,2,29,Scott Hastings,F/C,Arkansas,Hastings,Scott
1982,2,30,Wallace Bryant,C,San Francisco,Bryant,Wallace
1982,2,31,Rod Higgins,F/C,Fresno State,Higgins,Rod
1982,2,32,Richard Anderson,PF,UC Santa Barbara,Anderson,Richard
1982,2,33,Linton Townes,SF,James Madison,Townes,Linton
1982,2,34,Vince Taylor,SF,Duke,Taylor,Vince
1982,2,35,Derek Smith,SG,Louisville,Smith,Derek
1982,2,36,J. J. Anderson,SF,Bradley,Anderson,J. J.
1982,2,37,Audie Norris,C,Jackson State,Norris,Audie
1982,2,38,Wayne Sappleton,F,Loyola (IL),Sappleton,Wayne
1982,2,39,Kevin Magee,PF,UC Irvine,Magee,Kevin
1982,2,40,Guy Morgan,G,Wake Forest,Morgan,Guy
1982,2,41,Dwight Anderson,G,USC,Anderson,Dwight
1982,2,42,Jeff Taylor,SG,Texas Tech,Taylor,Jeff
1982,2,43,Jose Slaughter,SG,Portland,Slaughter,Jose
1982,2,44,Mike Gibson,F,USC Upstate,Gibson,Mike
1982,2,45,Russ Schoene,F/C,Chattanooga,Schoene,Russ
1982,2,46,Tony Guy,G,Kansas,Guy,Tony
1983,1,1,Ralph Sampson,C,Virginia,Sampson,Ralph
1983,1,2,Steve Stipanovich,C,Missouri,Stipanovich,Steve
1983,1,3,Rodney McCray,SF,Louisville,McCray,Rodney
1983,1,4,Byron Scott,SG,Arizona State,Scott,Byron
1983,1,5,Sidney Green,PF,UNLV,Green,Sidney
1983,1,6,Russell Cross,C,Purdue,Cross,Russell
1983,1,7,Thurl Bailey,PF,NC State,Bailey,Thurl
1983,1,8,Antoine Carr,PF,Wichita State,Carr,Antoine
1983,1,9,Dale Ellis,SG,Tennessee,Ellis,Dale
1983,1,10,Jeff Malone,SG,Mississippi State,Malone,Jeff
1983,1,11,Derek Harper,PG/SG,Illinois,Harper,Derek
1983,1,12,Darrell Walker,SG,Arkansas,Walker,Darrell
1983,1,13,Ennis Whatley,PG,Alabama,Whatley,Ennis
1983,1,14,Clyde Drexler,SG,Houston,Drexler,Clyde
1983,1,15,Howard Carter,SG,LSU,Carter,Howard
1983,1,16,Jon Sundvold,PG,Missouri,Sundvold,Jon
1983,1,17,Leo Rautins,SF,Syracuse,Rautins,Leo
1983,1,18,Randy Breuer,C,Minnesota,Breuer,Randy
1983,1,19,John Paxson,PG,Notre Dame,Paxson,John
1983,1,20,Roy Hinson,C,Rutgers,Hinson,Roy
1983,1,21,Greg Kite,C,BYU,Kite,Greg
1983,1,22,Randy Wittman,SG,Indiana,Wittman,Randy
1983,1,23,Mitchell Wiggins,SG,Florida State,Wiggins,Mitchell
1983,1,24,Stewart Granger,PG,Villanova,Granger,Stewart
